,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
0,Data Scientist,ManTech,VA,Chantilly,108486,145165,This company is in a hiring surge in response to COVID-19,Business Services,4.1,2020-04-30,2020-06-06,FULL_TIME
1,Data Scientist,Booz Allen Hamilton Inc.,MD,Annapolis Junction,76575,116705,"Job Number: R0077556

Data ScientistThe Challenge:

Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors from fraud detection to cancer research, to national intelligence you know the answers are in the data.

We have an opportunity for you to use your leadership and analytical skills to improve national security missions. Youll work closely with your customer to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. Youll explore data from various sources, discover patterns and previously hidden insights to address business problems, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help senior leadership make informed decisions. Youll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in national security.

Empower change with us.

You Have:

-Experience with using data science tools

-Experience with performing behavioral analysis and anomaly detection on data sets, including identifying true vs. false and positives vs. negatives

-Experience with Netflow

-Experience with using Python to perform data analysis, mining, and data visualization

-Experience with the transition of a research capability to an operational product

-Ability to author complex documents describing and visualizing analytical results

-TS/SCI clearance with a polygraph

-BA or BS degree in Science, Technology, Engineering, or Mathematics and 2+ years of experience in a professional work environment

Nice If You Have:

-Experience with SIGINT or cybersecurity operations

-Ability to work both independently and as a team member

-Possession of excellent analytical, data mining, and problem-solving skills

-Possession of excellent oral and written communication skills

-MS degree in Mathematics, Data Science, Statistics, or CS a plus

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.

Build Your Career:

At Booz Allen, we know the power of analytics, and were dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you can expect:

access to online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunka chance to change the world with the Data Science Bowlthe worlds premier data science for social good competitionparticipation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government

Youll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications? Take advantage of our tuition assistance, onsite bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. Well help you develop the career you want, as you chart your own course for success.

Were an EOE that empowers our peopleno matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristicto fearlessly drive change.#LI-AH1, APC1, APC3, CJ1, CMD",Business Services,3.7,2020-05-01,2020-06-06,FULL_TIME
2,Data Engineer,ManTech,VA,Herndon,107971,114861,This company is in a hiring surge in response to COVID-19,Business Services,4.1,2020-05-01,2020-06-06,FULL_TIME
3,Senior Data Scientist,ManTech,VA,Alexandria,152636,165075,This company is in a hiring surge in response to COVID-19,Business Services,4.1,2020-05-06,2020-06-06,FULL_TIME
4,Data Scientist,Mathematica Policy Research,DC,Washington,99264,132056,"Position Description:

Want to make a difference in our world. Mathematica applies expertise at the intersection of data, methods, policy, and practice to improve well-being around the world. We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and enhance understanding. Our work yields actionable information to guide decisions in wide-ranging policy areas, from health, education, early childhood, and family support to nutrition, employment, disability, and international development.

We are looking for aData Scientist in our Washington DC office. Data scientists lead data processing and analysis tasks, such as monitoring data quality, developing documentation, applying statistical and data science methods, and creating data visualizations. Data scientists are expected to work on multi-disciplinary teams, overseeing and mentoring junior data scientists. The work of our data scientists supports our company's core offerings in program evaluation and data analytics, which yield crucial evidence and information for policy and decision makers.

Data scientists contribute throughout the course of a project on tasks such as the following:

Leading multidisciplinary teams to answer research questions or build solutions that involve linking health or healthcare data (e.g., Medicare claims or HCUP) to other administrative data (e.g., Hospital Compare files)Designing, planning, and overseeing the data science workflow on tasks and projects, involving descriptive statistics, machine learning or statistical analysis, data visualizations, and diagnostics using programming languages such as R or PythonCommunicating results to collaborative project teams using data visualizations and presentations using tools such as Markdown (e.g., R Markdown), notebooks (e.g., Jupyter or Databricks), or interactive visualizations (e.g., R Shiny or Dash).Developing and implementing systems to ingest, process, and manage datasetsDeveloping and maintaining documentation using Atlassian Confluence and JiraImplementing quality assurance practices such as version control and testingLeading or supporting proposal sections or applications

Position Requirements:

Demonstrated enthusiasm for applying data science and statistics to social impact projects in academic, extra-curricular, and/or professional settingsAn excellent academic record, including courses in subjects such as statistics, data science, math, computer science, and/or social science, and the following credentials:PhD, or 3+ years of experience in a social policy field post Masters or immersive bootcamp (e.g., Metis)Mastery of R or Python to manipulate data, conduct analyses, and create data visualizationsAbility and desire to work independently as part of remote, interdisciplinary teamsAbility and desire to mentor junior data scientists and contribute to Mathematicas growing health data science community of 50+ staffAbility to version code using GitStrong oral and written communication skills.

Nice-to-have Skills:

Experience with reproducible research principles, interactive visualizations, tidyverse, AWS, Google Cloud Platform, R Shiny, R Markdown, pandas, healthcare claims and administrative data (e.g., Medicare, Medicaid, electronic health records, all-payer claims databases, HCUP), and/or scikit-learn.

Please submit a cover letter, resume, and salary expectations. You will be asked to attach these materials during the online application process. Please click the ""Apply Now"" icon after the Position Description to attach your documents. Letter of recommendations not expected or required.

Mathematica offers our employees competitive salaries and a comprehensive benefits package, as well as the advantages of being 100 percent employee-owned. As an employee stock owner, you will experience financial benefits of ESOP holdings that have increased in tandem with the companys growth and financial strength. You will also be part of an independent, employee-owned firm that is able to define and further our mission, enhance our quality and accountability, and steadily grow our financial strength.

Various federal agencies with whom we contract require that staff successfully undergo a background investigation or security clearance as a condition of working on the project. If you are assigned to such a project, you will be required to obtain the requisite security clearance.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.
",Business Services,3.3,2020-04-30,2020-06-06,FULL_TIME
5,Data Scientist - Defense & Intelligence,Elder Research,VA,McLean,95113,106971,"Position Location: McLean, VAHome Office Location: Arlington, VA***All applicants must be a US citizen and have an active Top Secret/SCI within the past 2 years, as this role is part of our division working on cleared contracts.***Elder Research Inc. is a recognized leader in predictive analytics and data mining. We pride ourselves in our ability to find creative, cutting edge solutions to real-world problems. We are looking for innovative and inquisitive self-starters who enjoy translating complex models into actionable solutions that deliver real value for our clients. We have multiple openings in the Baltimore-Washington Metropolitan area for cleared analytics and data science professionals at varying skill levels to support our Defense & Intelligence business.
As a Data Scientist, you will work directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver data-driven analytical solutions that solve client problems. You will primarily create and deploy predictive models from a wide variety of data sources and types using the latest mathematical and statistical methods.
Required Qualifications
· At least 2 years of technical experience working with data and deploying analytical solutions. Bachelor’s of Science degree in a technical field.
· All applicants for cleared contracts must be a US citizen and have an active Top Secret/SCI within the past 2 years.
· Technical skills and analytic tool experience in several of the following areas:
Technical Areas: machine learning, predictive analytics, data mining, advanced analytics, statistics, workload prioritization, operations research, risk analysis, streaming analytics, anomaly detection, exploratory data analysis, ETL, event log processing, mathematical modeling, graph/network analysis, data visualization, text mining, data access, storage and retrieval
Analytic Tools (or equivalent): R/Shiny, Python, SQL, IBM SPSS Modeler, Java, Pig, Spark, Oracle, RapidMiner, KNIME, Statistica, SAS
Preferred Qualifications
· Active TS/SCI in the past 2 years.
· Strong Programming experience in R or Python
· Machine Learning experience
· Insider Threat, CI or person- centric domain experience
Experience working in any of the following domains is a plus: 
Domain Expertise: national security, intelligence, counterintelligence, insider threat, biometrics, counter-terrorism, case support, executive protection, behavioral science, continuous evaluation, information security, cyber security, CBRN-WMD, emerging technologies/threats, S&T, R&D
About Elder Research, Inc.
Elder Research is a fast growing consulting firm specializing in predictive analytics. Elder Research has been in the data mining business over 20 years providing analytic solutions to hundreds of companies and organizations across numerous industries. At Elder Research, you’ll be part of a fun, friendly community. In keeping with our entrepreneurial spirit, we want candidates that are self-motivated with an innate curiosity and strong team work ethic. We work hard to provide the best value to our clients and allow each person to contribute their ideas and put their skills to use immediately.
Achieving success on defense, intelligence and security projects requires a data science team with broad experience, critical thinking, a proven ability to solve complex problems, and the ability to effectively communicate results. Our scientists conduct analysis in a collaborative environment that frequently brings together the expertise of decision-makers, analysts, agents, investigators, and even behavioral scientists. Our team relies on well-trained technical personnel who have experience with tools, algorithms, best practices, and custom software development to navigate the frontier of unsolved problems we typically encounter. Our team enjoys great variety in the type of work they do and exposure to a wide range of analytic techniques and tools.
Elder Research, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.",Business Services,3.8,2020-05-07,2020-06-06,FULL_TIME
6,Data Scientist active TS/SCI,LMI,VA,Fort Belvoir,78503,131882,This company is in a hiring surge in response to COVID-19,Business Services,3.9,2020-04-28,2020-06-06,FULL_TIME
7,Data Scientist,Na Ali&amp;#039;i,DC,Washington,81933,136242,"Na Ali’i is looking to hire a Data Scientist - Collibra Data Catalog SME to support the Office of the Secretary of Defense (OSD), Office of the Chief Management Officer (OCMO), Chief Architect of the Business Enterprise Architecture (BEA). The candidate will work as part of a larger team to support OCMO in the delivery of a more agile delivery model for implementing the Department of Defense (DoD) BEA and consuming the existing data into the DoD’s Business Data Repository. The BEA is the DoD enterprise architecture for the Business Mission Area (BMA) and is focused on achieving an integrated shared service architecture technology solution and an enhanced Information Technology (IT) planning and portfolio management structure. Our team will support the OCMO in project management integration and all aspects of preparing the BEA for improved future operations and sustainment activities. Working in and across cross-functional teams with data at all stages of the analysis lifecycle to derive actionable insights. Essential functions and duties for this position include but are not limited to the following: Translating mission needs into an end-to-end analytical approach to achieve results.Harvesting the Technical Metadata from the legacy BEA as well as new ETL Data Pipelines. Integrating Technical Metadata in the DoD Collibra Data CatalogDeveloping End to End Data LineagesPerforming the pre-analytics areas of data collection and understanding, data cleansing and integration, and data storage and retrieval.Determining the appropriate analytics based on the data and the desired outcomes, using techniques including feature detection, statistics, data mining, predictive modeling, machine learning, natural language processing, and business intelligence.Interpreting the validity of results and communicating the meaning of those results.Demonstrating data analysis and visualization with one or more leading COTS analytic and presentation solutions including Tableau, Qlik Sense, and MS Excel and other MS Office suite applications.Collaborating with team members and government clients to obtain a detailed understanding of data requirements necessary for the sampling, weighting, and analysis of data.Working with other analysts in the creation, cleaning, and recoding of datasets and sample frames for IT Reform Initiatives (e.g. IT Cost Model Analysis).Ensuring data and metadata integrity and compliance with required standards by performing data validation and cleansing.Identifying issues within data and determining the root cause of the problem to recommend and execute corrective action.Identifying and implementing process improvements in relation to data collection and processing for repeatability.Identifying, reviewing and evaluating data collection metrics. Recommending ways to strengthen data integrity, quality, and availability.Providing project management support and ensures completion of all final deliverables in a timely, accurate, and efficient fashion.Excellent technical skills, organizational and planning skills, communication, and problem-solving skills, Problem analysis, attention to detail and accuracy, solid judgment and decision-making ability, takes initiative and is adaptable and customer service oriented. Qualified candidates should possess the following skill sets and experience: Three years of experience working with large datasets or databases. At least two of those years should be in a professional working environment.Experience designing business processes to enable enterprise data management building metadata artifacts like business glossaries data catalogs data dictionaries etc.Knowledge and experience scripting with Python is essential.Should have Solution Design and Data Analysis using SQLWorking knowledge of data management concepts including modeling ETL quality governance master data management metadata management etc.Working knowledge of the technologies that are required to support Data Governance PracticesWorking knowledge of Data Quality Tools Data Discovery Tools Sensitive Data Management like CollibraCatalog Lineage Collibra Connect is a plusAWS Collibra certifications preferredExtensive experience with working in an environment involving diverse sets of legacy data, documents, and materials. Experience with data preparation.Familiarity with R based statistics. Knowledge of statistical analysis methods including linear regression and factor analysis.Experience with all lifecycle phases of a data-oriented business case development project including initial assessment, requirements, solution design, planning and implementation.Strong quantitative ability and a keen eye for detail and accuracy.Proficiency writing syntax and using statistics and data analysist tools such as SPSS or Stata, R, Tableau, Qlik Sense, or other leading BI platform (Cognos, Business Objects), R Statistical programming and methods, Oracle or MS SQL Integration required.Ability to multi-task and manage multiple priorities with minimum direction and supervision.Experience using algorithms related to machine learning or data analytics.Experience conducting model feasibility research and algorithm development for machine learning.Experience working in an Agile environment, especially SAFe.Experience working with the Atlassian tool suite (Jira, Bitbucket, Confluence)Experience working in the commercial AWS or government C2S computing environmentsEducation and Experience: This position requires a Bachelor’s degree or higher in statistics, mathematics, social science, or an equivalent related field. A minimum of three (3) years of relevant professional experience is required. Experience working in or directly for the DoD is preferred. Clearance Requirements: This position requires an active SECRET security clearance.Work Location: Work is performed on government site at the Mark Center, unless directed. Employees will work in close proximity with Government personnel. Core work hours are 0800 to 1700 Monday through Friday except holidays. Check out our Benefits Brochure to learn more about us! The Nakupuna Companies are employers of equal opportunity that are committed to hiring a diverse workforce. All qualified applicants receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity and expression, age, ancestry, marital status, genetic information, national origin, disability or veteran status.",Business Services,4.2,2020-05-01,2020-06-06,FULL_TIME
8,Data Scientist,Navigant Consulting,DC,Washington,45951,78323,"Overview

Interested in working with talented people to help develop innovative solutions to some of society's most complex and challenging problems? We are Guidehouse, a leading consulting firm serving the public sector and commercial clients with specialized capabilities in strategy, technology, and risk management. You may not yet know our name, but we have a rich history. Guidehouse is a combination of PwC's former public sector practice and Navigant's deep expertise in energy, financial services and healthcare.

We offer an exciting, fast-paced environment that fosters intellectual growth and rewards individuals based on impact, not tenure. Our firm is at the forefront of an emerging model solving complex problems that stretch across government and private companies, affording our people the opportunity to be on the cutting edge of the consulting profession. By focusing on markets facing transformational change, technology-driven innovation, and significant regulatory pressure, our employees also develop and deploy world class knowledge and problem solving that leads to breakthrough solutions.

Responsibilities

Our consultants on the Advanced Analytics & Intelligent Automation team help clients maximize the value of their data and automate business processes. This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data visualization and dashboarding, to predictive analytics, machine learning, and artificial intelligence as well as robotic process automation (RPA). Our services enable our clients to define their information strategy, enable mission critical insights and data-driven decision making, reduce cost and complexity, increase trust, and improve operational effectiveness.

Our consultants focus on client services, while also supporting business development, internal firm initiatives, and ongoing professional development.

Qualifications

Security clearance: Ability to obtain a Public Trust clearance

Minimum years of relevant experience: 3

Education: B.S./B.A. in Statistics, Mathematics, Operations Research, Computer Science, Information Systems, Engineering, Economics, Data Science, Data Analytics, or similar quantitative discipline.

Significant experience working with analytical models, methods, applications, and tools, such as:



Statistical analysis, predictive modelling, simulation, machine learning, and artificial intelligence
Selecting and applying the appropriate analytical techniques
Analytics for business, operations, human capital, or financial management
Analyzing large and complex data sets, with strong aptitude for conducting quantitative and qualitative analysis
Advanced proficiency in an analytics programming language, such as R, Python, or SAS
Visualization skills such as Tableau, Power BI, or R Shiny

Desired Experience:

Education: M.S./M.A. in Statistics, Mathematics, Operations Research, Computer Science, Information Systems, Engineering, Economics, Data Science, Data Analytics, or similar quantitative discipline.

Skills and/or proven success in the following:



Contributing as a team member: understanding personal and team roles, contributing to a positive working environment by building strong, collaborative relationships with team members
Leading small teams, coaching and collaborating with colleagues, providing feedback and guidance on work performance
Identifying and addressing client needs, building relationships with clients, demonstrating flexibility in prioritizing and completing tasks, communicating potential conflicts to a supervisor
Communicating effectively to various audiences, including various levels of management and external clients, in a professional environment
Business development including RFP/RFQ responses, developing white papers/concept papers, and building and demonstrating prototype solutions to customers


Knowledge of defense, national security, financial, healthcare, international development, or state and local government environment.

Additional Requirements



This position requires successful completion of a background check and employment verification.
The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.


Disclaimer

Disclaimers

Guidehouse is an Equal Employment Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, citizenship status, military status, protected veteran status, religion, creed, physical or mental disability, medical condition, marital status, sex, sexual orientation, gender, gender identity or expression, age, genetic information, or any other basis protected by law, ordinance, or regulation.

Guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the Fair Chance Ordinance of Los Angeles and San Francisco.

If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

Guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of Guidehouse and Guidehouse will not be obligated to pay a placement fee.

Rewards and Benefits

Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

Benefits include:

Medical, Rx, Dental & Vision Insurance
Personal and Family Sick Time & Company Paid Holidays
Parental Leave and Adoption Assistance
401(k) Retirement Plan
Basic Life & Supplemental Life
Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts
Short-Term & Long-Term Disability
Skills Development & Certifications
Employee Referral Program
Corporate Sponsored Events & Community Outreach
Emergency Back-Up Childcare ProgramSDL2017
",Business Services,3.2,2020-05-01,2020-06-06,FULL_TIME
9,Data Scientist,DCS CORPORATION,VA,Alexandria,68857,117241,"Infoscitex, a DCS company, is an employee owned organization with a reputation for agile and efficient development of technology solutions for U.S. Defense, Aerospace, Human Factors, and Security markets. We continue to provide innovative solutions with our multidisciplinary teams formed with exceptional employees. Infoscitex is seeking a Data Scientist to join our team. As this Data Scientist, you will use established programmatic and quantitative methods to find patterns and relationships in large data sets. In this role, you could expect to conduct mathematical, statistical or other data-driven problem solving analysis to identify operations or intelligence questions by internal and external customers.

Please note this is a very math intensive opportunity; if you are extremely comfortable discussing and applying mathematical principles learned in undergraduate Calculus 1-3; including Differential Equations, Linear Algebra, and Statistics; then you may thrive in this role.

Requirements:

Due to the sensitivity of customer related requirements, U.S. Citizenship is required.

MS degree in Electrical Engineering, Computer Engineering, Computer Science, Mathematics, or a related discipline; and at least 5 years of related experience researching and providing data science solutions to the Department of Defense or the Intel Community in the areas of data understanding and insight, big data including using cloud computing, or artificial intelligence and machine learning. (We have multiple levels associated with this opportunity. Candidates with more advanced degrees or varying experience may be considered for alternative classification.)

Applicants selected will be subject to a U.S. Government background investigation and must meet eligibility requirements for access to classified information: Active TS/SCI.

Proficiency in a compiled programming language: C/C++, Fortran, etc.

Experience using Python, R, Java, or other computer languages in a Linux environment to perform data science, develop automated solutions to process, and transform data.

Experience applying machine-learning techniques on a variety of different data types (e.g. images, text, time series, etc.).

Strong skills in MS Office suite.

Ability to work in a highly collaborative team environment.

Excellent verbal and written English communication skills with ability to prepare and deliver clear presentations on research and development plans, project status, technical issues, and results.

Demonstrated ability and react effectively to time critical situations to achieve project success.

Ability to travel (8-10 short travel trips per year are anticipated)",Business Services,4.1,2020-04-25,2020-06-06,FULL_TIME
