,Rating,Min_Salary,Max_Salary,Entries
Agriculture & Forestry,5.0,124778.0,161987.0,1
Health Care,4.093,67743.63,91455.25,193
Telecommunications,4.062,67116.32,105875.35,34
Education,4.017,65430.65,102735.74,54
"Arts, Entertainment & Recreation",3.95,76048.5,121076.0,2
Consumer Services,3.875,73349.5,104760.75,4
Information Technology,3.826,95449.4,136500.68,508
Finance,3.79,82073.99,127007.96,181
Media,3.748,92931.19,131596.93,27
Government,3.713,68625.06,107000.83,78
Transportation & Logistics,3.713,65348.62,108108.25,8
Business Services,3.682,74497.65,114624.61,310
Aerospace & Defense,3.675,84697.61,129102.39,126
"Restaurants, Bars & Food Services",3.667,55243.67,90786.33,3
Retail,3.665,65846.8,103855.31,55
Manufacturing,3.624,88127.44,127634.91,34
"Construction, Repair & Maintenance",3.592,49458.26,70980.1,39
Biotech & Pharmaceuticals,3.584,93440.18,130068.8,289
Insurance,3.492,89353.56,129141.4,25
Accounting & Legal,3.492,87287.36,121065.56,25
"Oil, Gas, Energy & Utilities",3.425,83673.62,131086.67,24
Non-Profit,3.35,77780.17,102540.33,6
Real Estate,2.95,86072.75,122853.5,4
