,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
0,Junior Data Scientist,Ball Metal Food Container Corp,VA,Springfield,57902,97793,"Ball Aerospace pioneers discoveries that enable our customers to perform beyond expectation and protect what matters most. We create innovative space solutions, enable more accurate weather forecasts, drive insightful observations of our planet, deliver actionable data and intelligence, and ensure those who defend our freedom go forward bravely and return home safely. For more information, visit http://www.ball.com/aerospace, Facebook or Twitter.",Manufacturing,3.1,2020-04-28,2020-06-06,FULL_TIME
1,Senior Data Scientist,Ball Metal Food Container Corp,VA,Springfield,99191,160887,"Ball Aerospace pioneers discoveries that enable our customers to perform beyond expectation and protect what matters most. We create innovative space solutions, enable more accurate weather forecasts, drive insightful observations of our planet, deliver actionable data and intelligence, and ensure those who defend our freedom go forward bravely and return home safely. For more information, visit http://www.ball.com/aerospace, Facebook or Twitter.

Systems Engineering Solutions (SES) provides engineering services and solutions for the Department of Defense (DoD), Intelligence Community, and Civil entities in the areas of geospatial intelligence (GEOINT), measurement and signature intelligence (MASINT), human effectiveness research, directed energy threat analysis, electronic warfare modeling and simulation, quick reaction technology assessments, space situational awareness, space systems mechanical and systems engineering, knowledge management and decision support, program management, and advisory and assistance services (A&AS).",Manufacturing,3.1,2020-04-28,2020-06-06,FULL_TIME
2,Data Assimilation Scientist,"Global Science &amp;amp; Technology, Inc.",MD,College Park,72535,102174,"Global Science & Technology, Inc. (GST), a growing scientific and high technology company, seeks an experienced Data Assimilation Specialist to support the NOAA/NESDIS/STAR contract. Position is located in College Park, MD.

Position Summary:

The Center for Satellite Applications and Research (STAR) is NOAA's premiere research office for developing the satellite algorithms needed to transform satellite observations to environmental measurements. GST seeks a data assimilation scientist to support STAR's efforts to assess the impact of assimilating geosynchronous infra-red (IR) soundings into numerical weather prediction and numerical forecasts.

Primary Duties:

Work with the STAR team and partner organizations to integrate hyperspectral IR sounding data into Observing System Simulation Experiments (OSSE)Assess the OSSE results and determine impacts on forecastsDevelop schemes to quantify and interpret results in sensitivity studies that isolate the impact of IR sounding data on numerical weather prediction Document, present, and publish results

Required Education/Experience/Skills:

Master of Science (Ph.D. preferred) degree in Computer Science, Mathematics, Data Science, Meteorology, Remote Sensing, or related fieldMinimum of 5 years related work experience 2 years' experience working with satellite remote sensing data sets2 years' experience working with numerical weather prediction Familiarity with radiative transfer concepts Familiarity with satellite data assimilation techniquesDemonstrated coding experience with FORTRAN 95 and Bash scriptsKnowledge of common satellite data and numerical model formats, such as NetCDF, HDF, BUFR, and GRIB, etc.

Desired Skills/Experience:

Experience with severe weather dynamics and forecastingExperience performing Observing System Simulation Experiments (OSSE), Observing System Experiments (OSE), and studies of data assimilation activitiesExperience with high-resolution numerical models and NWP, such as Weather Research Forecasting Model (WRF), or equivalent Working knowledge of Python, IDL, Experience with High Performance Computing (HPC)Familiarity with Hyperspectral IR sounders such as CrIS, IASI, or related instrumentsA demonstrated ability to work effectively with othersStrong communication skills, both written and verbalAble to collaborate effectively with other team members to meet deadlines.Strong desire to learn and work in a science environment

U.S. citizenship or Permanent Resident (Green Card holder) is required.

Physical Qualification(s) Required:

Ability to use a computer

Mental Qualification(s) Required:

Ability to think on one's feet

Selected applicants will be required to complete a federal government background investigation.

GST offers competitive salaries; vacation, sick, and holiday leave; major medical, dental, life, long-term and short-term disability insurance; 401K retirement plan; tuition assistance; and opportunities for employee career growth and development.

All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veterans' status. GST is an Equal Opportunity/Affirmative Action Employer.",Manufacturing,3.3,2020-04-30,2020-06-06,FULL_TIME
3,Support Scientist,"Global Science &amp;amp; Technology, Inc.",MD,College Park,98763,109571,"Global Science &Technology, Inc. (GST), a fast growing high technology firm, is seeking a Support Scientist II/III for product development and validation on the Ocean Surface Winds Project at NOAA STAR (Center for Satellite Application and Research). Position is located in College Park, MD.

Position Summary:

The Ocean Surface Winds Project utilizes satellite remote-sensing data from current and past active and passive microwave sensors such as QuikSCAT, ASCAT, ScatSat, CYGNSS, SSM/I, AMSR2, SeaWinds, TMI, GMI, SMAP and WindSAT and plans for future sensors such as the OceanSat-3 and METOP-C/ASCAT. The project works closely with operational groups in NWS, NASA/JPL, EUMETSAT and the Navy, and utilizes near real-time Environmental Data Record (EDR) processing systems to produce and deliver environmental data products to these groups. Efforts will focus on the project's Ocean Winds near real-time product processing and validation systems at STAR and the preparation and integration tasks for processing these data streams.

The Support Scientist will shall provide the scientific and engineering work to augment the Ocean Surface Winds Project's existing capabilities. The main objectives of this task are to develop, validate and improve satellite ocean surface wind products, and to develop and apply metrics that will allow us to quantify the impacts of these data in operational short-term forecasts and warnings in the marine environment, and to improve utilization of these data by forecasters. This position will involve working closely with the NWS, the NESDIS Ocean Surface Winds Project and the external science community.

Primary Duties:

Support the satellite ocean winds team in the development, design and implementation of satellite ocean wind processing retrieval algorithmsSupport the satellite ocean winds team in the validation of satellite ocean surface wind products and utilization of these products in improving understanding of the air-sea interaction processes.Support the validation of High quality satellite ocean surface wind satellite products is extremely important. The candidate will work with OSCAT, ASCAT GMF and AMSR2 data. Support the satellite ocean winds team in quantifying the impacts of these data at NOAA.

Education/Experience Required:

Bachelor's degree in Atmospheric Science, Oceanography, other Physical Sciences, Physics, Astronomy, Engineering or Mathematics. A recent Master's degree can substitute for work experience.Specific support or understanding of wind vector retrievals on QuikSCAT, MWR (on AQUARIUS) or other satellite instruments will be highly preferred.Other skills considered useful would be an understanding of GMF's, radiative transfer theory, orbit analysis, radar systems, microwave remote sensing.Ability to program in a modern language and a good working knowledge of the Linux OS.

Physical Qualification(s) Required:

Ability to use a computer.

Mental Qualification(s) Required:

Ability to think on one's feet.

Selected applicants will be required to complete a federal government background investigation.

GST offers competitive salaries; vacation, sick, and holiday leave; major medical, dental, life, long-term and short-term disability insurance; 401K retirement plan; tuition assistance; and opportunities for employee career growth and development.

You may also fax your resume to (301) 474-5970. If you need assistance, please call (301) 474-9696.

All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, national origin, disability, veterans' status, sexual orientation and gender identity. GST is an Equal Opportunity/Affirmative Action Employer.",Manufacturing,3.3,2020-04-30,2020-06-06,FULL_TIME
4,Senior Scientist to Support Satellite Oceanography and Climatology and Ocean Color,"Global Science &amp;amp; Technology, Inc.",MD,College Park,102107,117688,"Global Science &Technology, Inc. (GST), a fast-growing high technology firm is seeking mid to senior scientists for an exciting task at the Satellite Oceanography and Climatology Division at NOAA's Center for Satellite Technology Applications and Research (STAR). This task involves broad research and application activities for ocean color remote sensing including algorithm development, testing, evaluation, and validation. Selected candidates shall work with the project leader and other members in STAR and other NOAA offices for some (or all) of the specific tasks provided below.

Duties:

Sensor on-orbit calibration using solar and lunar approaches, in particular, for all VIIRS routine on-orbit calibrations (i.e., VIIRS on the SNPP and NOAA-20 satellites, as well as futures VIIRS on the JPSS series).Analyze the simulated and satellite data, as well as various in situ data from ocean color and atmosphere to evaluate and improve related algorithm performance.Review ocean color related documentations to study and understand ocean color remote sensing theory, algorithm, and applications; an understanding of instrument calibration is highly desirable.Sensor on-orbit calibration using solar and lunar approaches, in particular, for all VIIRS routine on-orbit calibrations (i.e., VIIRS on the SNPP and NOAA-20 satellites, as well as futures VIIRS on the JPSS series).Development and applications of satellite algorithms for water properties, e.g., algorithms for biological and biogeochemical properties, IOPs, PFT, etc. Become familiar and work with the ocean color data processing system for research and algorithm development, e.g., SeaDAS, MSL12, ADL, for the data processing, data displaying, and data analyses for various satellite data sets (e.g., VIIRS, MODIS, OLCI on Sentinel-3, SGLI on GCOM-C, etc.).Work with other non-ocean color satellite sensor data (for atmosphere and land purposes), e.g., CALIPSO data, for developing and testing new approaches for remote sensing of ocean properties. Support the identification and resolution of shortfalls in existing open ocean algorithms for application to coastal regions and identification of new applications and products from satellite measurements specifically for coastal and inland water applications. Contribute documentation related to the project.

Required Education/Experience/Skills:

Ph.D. in Oceanography, Physics, Computer Science, and/or other Physical Sciences and Engineering. Previous work experience is required Strong working knowledge of remote sensing algorithms. Understanding of satellite instrument calibration will be a plus.Experience with one or more computer programming languages, such as IDL, Python, Matlab, FORTRAN, and C/C++.Good working knowledge of the Linux/Unix OSA very strong candidate without some of the above qualifications will be considered.

Physical Qualification(s) Required:

Ability to use a computer.

Mental Qualification(s) Required:

Ability to think on one's feet.

U.S. citizenship or Permanent Resident (Green Card holder) is required.

Note:

This employee will have a strong ability to work on tasks independently and collaboratively. A strong team player is required to work tightly knit SOCD teams. Travel to select subject-matter oriented conferences may be required of the successful candidate.

GST offers competitive salaries; vacation, sick, and holiday leave; major medical, dental, life, long-term and short-term disability insurance; 401K retirement plan; tuition assistance; and opportunities for employee career growth and development.

If you need assistance, please call 301-474-9696.All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veterans' status. GST is an Equal Opportunity/Affirmative Action Employer.",Manufacturing,3.3,2020-04-30,2020-06-06,FULL_TIME
5,Mid to Senior Level Scientist to Support Ocean Color Cal/Val,Global Science &amp;amp; Technology,MD,College Park,102107,117688,"


ScienceCollege Park, MD, USAFull Time 

Email Me Similar Jobs Email Me This Job

Global Science &Technology, Inc. (GST), a fast-growing high technology firm is seeking mid to senior scientists for an exciting task at the Satellite Oceanography and Climatology Division at NOAA's Center for Satellite Technology Applications and Research (STAR). This task involves broad research and application activities for ocean color remote sensing including algorithm development, testing, evaluation, and validation. Selected candidates shall work with the project leader and other members in STAR and other NOAA offices for some (or all) of the specific tasks provided below.

Duties:

Sensor on-orbit calibration using solar and lunar approaches, in particular, for all VIIRS routine on-orbit calibrations (i.e., VIIRS on the SNPP and NOAA-20 satellites, as well as futures VIIRS on the JPSS series).
Analyze the simulated and satellite data, as well as various in situ data from ocean color and atmosphere to evaluate and improve related algorithm performance.
Review ocean color related documentations to study and understand ocean color remote sensing theory, algorithm, and applications; an understanding of instrument calibration is highly desirable.
Development and applications of satellite algorithms for water properties, e.g., algorithms for biological and biogeochemical properties, IOPs, PFT, etc.
Become familiar and work with the ocean color data processing system for research and algorithm development, e.g., SeaDAS, MSL12, ADL, for the data processing, data displaying, and data analyses for various satellite data sets (e.g., VIIRS, MODIS, OLCI on Sentinel-3, SGLI on GCOM-C, etc.).
Work with other non-ocean color satellite sensor data (for atmosphere and land purposes), e.g., CALIPSO data, for developing and testing new approaches for remote sensing of ocean properties.
Support the identification and resolution of shortfalls in existing open ocean algorithms for application to coastal regions and identification of new applications and products from satellite measurements specifically for coastal and inland water applications.
Contribute documentation related to the project.

Required Education/Experience/Skills:

Ph.D. in Oceanography, Physics, Computer Science, and/or other Physical Sciences and Engineering and a minimum of 5 years of professional experience. Equivalent experience as well as recent graduate degrees with an exceptional background will be considered.
Strong working knowledge of remote sensing algorithms. Understanding of satellite instrument calibration will be a plus.
Experience with one or more computer programming languages, such as IDL, Python, Matlab, FORTRAN, and C/C++.
Good working knowledge of the Linux/Unix OS
A very strong candidate without some of the above qualifications will be considered.

Physical Qualification(s) Required:

Ability to use a computer.

Mental Qualification(s) Required:

Ability to think on one's feet.

U.S. citizenship or Permanent Resident (Green Card holder) is required.

Note:

This employee will have a strong ability to work on tasks independently and collaboratively. A strong team player is required to work tightly knit SOCD teams. Travel to select subject-matter oriented conferences may be required of the successful candidate.

GST offers competitive salaries; vacation, sick, and holiday leave; major medical, dental, life, long-term and short-term disability insurance; 401K retirement plan; tuition assistance; and opportunities for employee career growth and development.

If you need assistance, please call 301-474-9696.All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veterans' status. GST is an Equal Opportunity/Affirmative Action Employer.


Global Science & Technology, Inc.

 https://gst.applicantpool.com
",Manufacturing,3.3,2020-05-06,2020-06-06,FULL_TIME
6,Data Scientist,Jabil,TX,Austin,79850,102176,"At Jabil, we empower the brands who empower the world – it’s our reason for being and the guiding force that’s driving us to become the most technologically advanced manufacturing solutions provider on the planet.  Whether we’re serving one of the world’s biggest and best known brands or the coolest tech startups, our resolve never wavers. We share common desires with these brands: to make the world a better, safer and cleaner place.

JOB QUALIFICATIONS

KNOWLEDGE REQUIREMENTS

● Advanced Statistics, operations research/ management, mathematics or business analytics with experience, courses, or project work in an analytic methods such as linear, mixed linear, constraint programming, modeling, simulation, time series analysis, pattern recognition, queuing theory, multivariate analysis, and other various predictive analytics techniques

● Strong written and verbal communication skills and the ability to work effectively in teams and under pressure. Multi-lingual capability is a plus.

● Ability to draw conclusions from data and prescribe actionable and measurable activities.

● Highly motivated and creative, thinking “out of the box”.

● Familiarity with non-relational data frameworks (aka NoSQL, eg. Hive).

● Experience with Apache Pig, Spark systems.

● Strong team mentality, interpersonal and communications skills

● Preferred working directly with management and executives

Jabil, including its subsidiaries, is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identify, age, disability, genetic information, veteran status, or any other characteristic protected by law.",Manufacturing,3.7,2020-04-30,2020-06-06,FULL_TIME
7,Data Scientist,Trinity Industries,TX,Dallas,70894,113586,"TrinityRail is searching for a Data Scientist to join our Data Analytics team in our Dallas, TX office! . The successful candidate will work with the TrinityRail teams to develop and maintain systems and processes to support accurate financial reporting, graphically present results to a wide range of audiences, automate typical tasks, answer business questions, shape corporate strategy, forecast financial trends and more. The data scientist should have experience in data mining and transformation, creating visualizations, and statistical analysis. Presentation skills are required to review variance explanations, explain models, and lead conversations with the leadership team.
What you'll do:

Works with data engineers to facilitate technical design of complex data sourcing, transformation and aggregation logic, ensuring business analytics requirements are metPossess strong competencies with SQL (or related query languages) and data transformation tools to understand and prepare dataBrings deep expertise in data visualization tools such as QlikSense and techniques in translating business analytics needs into data visualization and semantic data access requirementsAutomate tasks thru Robotic Process Automation toolsBuild and refine statistical models to gain better insight (primarily R Studio or Python)Qlik/Tableau experience is a plus

What you'll need:

Bachelor’s Degree in Mathematics, Economics, Computer Science, Information Management, Statistics, Finance or Accounting; Masters preferred5 years relevant experience or 3 years with MastersAdvanced skills in Visualization, SQL, R, Microsoft Excel, PowerPoint, and at a minimum intermediate experience in all other Microsoft Office Products Technical expertise regarding data models, database design/Development, data mining and other segmentation techniquesInterpret data, analyze results using statistical techniques and provide ongoing reportsMust possess effective communication skills, both verbal and writtenStrong organizational, time management and multi-tasking skillsExperience with data conversion, interface and report developmentAdept at queries, report writing and presenting findingsProcess improvement and automation a plusWork with management to prioritize business and information needs
",Manufacturing,3.3,2020-05-05,2020-06-06,FULL_TIME
8,AMS Verification and Modeling Engineer,Cirrus Logic,TX,Austin,107880,160333,"We are hiring experienced, creative and innovative engineers to join our extraordinary ASIC and Analog/Mixed-Signal Verification, Modeling and Methodology Team. You will have opportunities to work and gain competence in several areas such as modeling (TLM), Block- and Top-Level ASIC and verification, test bench development, HW emulation, HW acceleration, SW driven verification. You will be part of a diverse team where there will be opportunities for learning, working on new designs and more.

Responsibilities

You will contribute to a team that performs verification planning and AMS simulation on full custom ASICs for audio processing applicationsDevelop behavioral models using SystemVerilog real number modeling (sv-rnm), user-defined types(sv-udt), & Verilog AMSDevelop test plans, test benches, and verification methodologies to verify the microarchitecture and designIndependent Interpretation of analog circuit schematics into abstract modelsCollaborate with system architects and designers to streamline architectural exploration of next-generation IPCollaborate with UVM verification engineers to ensure all verification components are used for AMS-UVM flowCollaborate with multi-functional teams to streamline chip-level integrationYou will perform failure analysis and resolution, coverage analysis and populationDevelop directed/constraint-random test generation, gate-simulationsPerforming regression debug support and other flow/infrastructure development

Required Skills and Qualifications

MS or higher in Electrical Engineering or Computer Engineering and 5+ years of verification experience preferably in mixed-signal productsStrong background in HDLs (e.g. Verilog, VHDL) and HVLS (e.g. SystemVerilog/OVM, UVM, AVM, Vera)

Preferred Skills and Qualifications

Experience teaming closely with digital/analog designers, applications engineers, and manufacturing test to support both pre-silicon verification and post-silicon validation effortsKnowledge of signal processing and Verilog AssertionsAbility to build, evaluate, debug, and improve a verification processAbility to mentor junior engineers in verification methodology

This position is located in Austin, TX

Cirrus Logic is an Equal Opportunity/Affirmative Action Employer. We strive to select the best qualified applicant for any opening and to reward employees based on their skills, experience and performance. We do not discriminate on the basis of race, national origin, pregnancy status, marital status, gender, age, religion, physical or mental disability, medical condition, veteran status, sexual orientation, genetic information or any other characteristic protected by law.",Manufacturing,4.2,2020-04-30,2020-06-06,FULL_TIME
9,Lab Analytical Scientist,Air Liquide,TX,Dallas,60627,96220,"
Lab Analytical Scientist


 Apply

Located in Dallas, TX.
Job title


 Lab Analytical Scientist

Contract Type


 Regular

Publication date


 2020-04-06

Country


 United States

Company presentationWorld leader in gases, technologies and services for Industry and Health, Air Liquide is present in 80 countries with approximately 66,000 employees and serves more than 3,6 million customers and patients. Oxygen, nitrogen and hydrogen have been at the core of the company’s activities since its creation in 1902. Air Liquide’s ambition is to be the leader in its industry, delivering long-term performance and acting responsibly.

Candidate must have valid employment authorization in the U.S. and must not require visa sponsorship now or in the future. This position is not open for non-immigrant visa sponsorship.Entity and activity descriptionAir Liquide Electronics innovative electronic materials respond to increasingly challenging customer demands for improved mobility, connectivity, computing power and energy consumption. We offer ultra pure carrier gases, a wide range of specialty gases and advanced precursor molecules, enabling equipment for safe distribution, purification and on-line purity control. On site, manufacturers rely on our expertise in providing full management of these gases, advanced molecules and equipment and in helping to continuously improve production processes.Job Responsibilities

HR ICPMS content Expert
Perform routine and non-routine analysis and data interpretation, prepare analysis reports and communicate with customers
Develop and carry out projects with clients by determining their exact with minimal supervision
Develop practical and robust new analytical methods for analysis of materials used in the semiconductor and associated high tech industries
Understand industrial processes and the strategic need of the customer for new analysis procedures
Maintain optimum lab. inst. performance and feedback into preventive maintenance program
Investigates customer problems, e.g. customer contamination issues
Develop, Promote and Publish new analytical capabilities/research findings in industry journals and trade magazines and conferences
Train lab staff to ensure new method implementation

Required Qualifications

Ph.D. in Chemistry or Similar Science with 0 - 2 years of experience (preferred) OR
Masters of Science in Chemistry or Similar Science with 5+ years of experience
Ability to work independently and with colleagues in a time sensitive environment
Highly organized, disciplined, and goal oriented
Strong communication skills: verbal and written
Effective time management skills
Work safely and ensure a safety culture and a safe working environment in the laboratory


",Manufacturing,3.6,2020-05-05,2020-06-06,FULL_TIME
