,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
0,Data Scientist,Koch Industries,VA,Arlington,103270,133441,"
i360, a leader in data and analytics capabilities that solve political, operational, supply chain, and market forecasting challenges for some of the most sophisticated organizations in the world, is seeking a Data Scientist to join the team! i360 is a dynamic workplace sitting on the leading edge of politics, technology, and business, and is seeking team members who are as excited about freedom as they are about building the next generation of political technology.

The ideal candidate is someone who has technical experience leveraging data and technology to optimize commercial or political operations and to create new capabilities. The Data Scientist is primarily responsible for developing models and related tools that create value for our customers.

To be considered, candidates must demonstrate the following qualities:

Outstanding quantitative, analytical, and conceptual problem-solving skills Entrepreneurial attitude and the desire to drive projects to completion autonomously and on timeAffinity for fast-paced, cross-functional team environments

A Day In The Life Typically Includes:

Quantify model accuracy over baseline for a specific subset of peopleQuantify the potential value of a new data set for future modelsAnalyze a data science customer question and explain the answer to a non-technical team memberDevise and implement an automated approach to a repeatable process in collaboration with the Data Operations Team and the Analytics TeamDetermine more data is required after training an experimental model and validating its performance

What You Will Need:Basic Qualifications:


3+ years of experience writing R, Python, or similar scripting language for data analysis
1+ years of experience in machine learning or artificial intelligence with caret, scikit-learn, PyTorch, TensorFlow, or similar framework1+ years of experience writing SQL for data analysisTheoretical understanding of the algorithms behind real-world machine learning and artificial intelligence applicationsBachelor’s degree in statistics, mathematics, econometrics, operations research, software engineering, computer science, artificial intelligence, or a similar technical field

What Will Put You Ahead?Preferred Qualifications:


MS or PhD in statistics, mathematics, econometrics, operations research, software engineering, computer science, artificial intelligence, or a similar technical field. Those with a non-technical advanced degree but extensive technical experience are also encouraged to apply.
Experience identifying and communicating actionable insights using dataExperience with automated data pipelines for data collection or standardization Experience with NoSQL nonrelational databasesFamiliarity with AWS or similar cloud-based platform, Linux, git, containers, and command line basics Familiarity with d3.js, plotly, seaborn, ggplot, or similar libraryFamiliarity with individual-level commercial data, state-level government data, census data, or unstructured data Experience working with free market groups or political campaigns

Learn more about us
Salary and benefits commensurate with experience.

Equal Opportunity Employer. Except where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test.

This employer uses E-Verify. Please visit the following website for additional information: www.kochcareers.com/doc/Everify.pdf
Follow us 




","Oil, Gas, Energy & Utilities",3.6,2020-05-07,2020-06-06,FULL_TIME
1,Data Scientist,Carolina Power &amp;amp; Light Co,VA,McLean,83852,137111,"Thomson Reuters Special Services, LLC delivers a comprehensive suite of solutions designed to help customers achieve mission objectives, address uncertainty, and identify and manage risk. We leverage Thomson Reuters' market-leading solutions to help our clients perform intelligence collection and analysis of a range of security, regulatory and compliance issues e.g., cyber security, threat finance, insider threat detection, and risk management.

The Data Scientist will be responsible for managing, understanding and analyzing in-house and customer data including text mining, developing predictive systems, risk scoring, creating efficient algorithms, data quality improvement and other related activities. This individual will work closely with the TRSS Analysts and government partners to drive, identify, evaluate, design and implement statistical analyses of gathered open source, proprietary, and customer data to create analytic metrics and tools to support TRSS analysts, customers and existing product offerings.

Successful candidates will have the opportunity to contribute directly to the features and capabilities deployed in our applications. They will work with customers to assist in gathering requirements and contributing to Statements of Work (SOWs) for new sales or POCs and executing design post sale while getting deeply involved into the delivery of the proposed solutions. The role will interface with the customer and provide continuity of technical and data-exploration expertise to ensure we are delivering a workable solution that meets the customer requirements and technical capabilities. The position requires a proactive, mission-oriented person who strives to produce the best possible work for the customer.

Key Responsibilities and Duties:

Work with interdisciplinary engineering and research teams on designing, building and deploying data analysis systems for large data sets.
Work closely with customers to apply data science to their mission specific content.
Create algorithms to extract information from large data sets.
Establish scalable, efficient, automated processes for model development, model validation, model implementation and large-scale data analysis.
Develop metrics and prototypes that can be used to drive business decisions.
Provide thought-leadership and dependable execution on diverse projects.
Identify emergent trends and opportunities for future client growth and development.
Researches and identifies Artificial Intelligence (AI) methods including Machine Learning (ML) and Natural Language Processing (NLP) methods
Identifies new applications of AI in the context of Thomson Reuters and TRSS content sets
Explores existing data for insights and recommends additional sources of data for improvement

Qualifications:

Must have or be able to acquire and maintain a US Government Security Clearance current or recent active clearances (Secret/TopSecret) or BI investigations are highly preferred.
Excellent programming skills in one major programming language (Java/Python/R/Scala)
Must be creative, intellectually curious, and willing to experiment and work in dynamic organizations and situations, sometimes with little oversight or well-defined requirements.
Must take ownership for defined areas of accountability, most critically the integrity of the technical and data design in terms of meeting customer needs, design delivery and supportability
A good understanding of distributed computing concepts
Experience with database, workflow and orchestration frameworks preferred (e.g. SQL, Kafka; NiFi, Docker, Kubernetes, etc.)
Big Data analytics experience preferred
Strong background in engineering, process data management, or service management in a medium size complex technology environment.
Previous experience with data modeling for graphs.
Experience in complex analysis of processes and tools
Experience facilitating gathering input from subject matter experts.
Excellent understanding of ML, NLP and statistical methodologies
Ability to test ideas and adapt methods quickly end to end from data extraction to implementation and validation
Experience with search engines, classification algorithms, recommendation systems and relevance evaluation methodologies a plus
Experience leading project work focused on a specific process area.
Strong planning, time management and organizational skills
Good team player / self-starter with the ability to work using own initiative.


Do you want to be part of a team helping re-invent the way knowledge professionals work? How about a team that works every day to create a more transparent, just and inclusive future? At Thomson Reuters, we've been doing just that for almost 160 years. Our industry-leading products and services include highly specialized information-enabled software and tools for legal, tax, accounting and compliance professionals combined with the world's most global news services Reuters. We help these professionals do their jobs better, creating more time for them to focus on the things that matter most: advising, advocating, negotiating, governing and informing.

We are powered by the talents of 25,000 employees across more than 75 countries, where everyone has a chance to contribute and grow professionally in flexible work environments that celebrate diversity and inclusion. At a time when objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them. Sound exciting? Join us and help shape the industries that move society forward.

Accessibility

As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.

More information about Thomson Reuters can be found on thomsonreuters.com.

Locations

McLean-Virginia-United States of America

Req #: JREQ137021

Locations: McLean-Virginia-United States of America

Job Function: Technology DevelopmentSDL2017","Oil, Gas, Energy & Utilities",3.7,2020-05-06,2020-06-06,FULL_TIME
2,Data Scientist,Schlumberger,TX,Houston,85661,139929,"Schlumberger will attend or host university recruitment events for this position in your area.

Job Title: Data Scientist

Job Description

We are seeking scientists and engineers with a strong fundamental understanding of various modern machine-learning methods to address highly challenging scientific & engineering problems.

Responsibilities

> Research and develop data analytics and/or machine learning systems for business applications;

> Work with domain experts to understand needs & constraints;

> Work with software engineers to integrate ML solutions in business workflows;

> Communicate sophisticated ML concepts to management, clients, and the business community.

Qualifications

> BS / MS / PhD in Computer Science, Statistics, EE, Applied Mathematics, Physics, Chemistry or Biology

> Programing experience in one or more general purpose languages.

> Experience in a few of the following areas: deep neural networks, reinforcement learning, Markov Random Fields, Bayesian networks,semi-supervised learning, computer vision, image processing, signal processing, distributed computing, and/or numerical optimization.

> Familiarity with ML frameworks such as Tensorflow, Theano, MXNet, etc. is a plus.

> Experience with big-data technologies such as Hadoop/Spark is a plus.

> Strong oral and written communication skills

> Ability to work independently and in a team of scientists and engineers

Please apply online at careers.slb.com

Schlumberger is an equal employment opportunity employer. Qualified applicants are considered without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, status as a protected veteran or other characteristics protected by law.

Schlumberger is a VEVRAA Federal Contractor - priority referral Protected Veterans requested.","Oil, Gas, Energy & Utilities",3.5,2020-05-07,2020-06-06,FULL_TIME
3,Data Scientist,Aramco Services Company,TX,Houston,97540,126319,"Our Houston Research Center focuses on research and innovation in geology, geophysics, reservoir engineering, production technology, drilling, and sensors development to advance the discovery and recovery of oil and gas. Located in Houstons Energy Corridor, the center neighbors the nations leading petroleum engineering universities, labs, manufacturers, and service companies.

Basic Function

Develop algorithms, models and prototype solutions to address challenging scientific and engineering problems for exploration and production (E&P) applications. Serve as a bridge between machine learning (ML), data science and subject matter applications.

Duties & Responsibilities

Develop machine learning algorithms and perform advanced statistical analyses of engineering data to obtain insights into trends and opportunitiesDevelop and maintain appropriate databasesIn close collaboration with research and business partners in the US and in the Kingdom of Saudi Arabia, offer mathematical, computational and statistical models from the collected data to automate, augment, improve or speed up human decisionsResearch and deliver proof of concepts solutions, responding to clear and specific business needsServe as a bridge between machine learning/data science and subject matter applicationsBridge the gap between prototype development and scalable production applications when neededDevelop proper unit test frameworks for artificial intelligence (AI) and ML and provides high level documentationCommunicate appropriate algorithm research and prototype development best practices back to the machine learning group, to improve learning and future capabilitiesPublish and present work in journals and at conferencesDevelop and maintain statistical reports and visual presentations for management Perform other duties and participate in special projects as assigned

Education and Experience

Bachelor's degree in Computer Science, Computer Engineering, Electrical Engineering, Applied Mathematics & Statistics, Machine Learning and Artificial Intelligence, or Geosciences required; Masters degree and/or Ph.D. strongly preferredMust have at least three (3) years of relevant experience in data science including at least two (2) years in AI or MLStrong fundamental understanding of various modern machine-learning methods or computational physics/geosciences/chemistry background, along with significant machine learning knowledge is desirableAbility to:


compile, correlate, and compute results from large data setsdevelop machine learning algorithms and perform advanced statistical analyseseffectively collaborate with research and business partners across disciplines and culturesdemonstrate technical writing skills and develop logical and clearly defined reports and presentationsmake oral/graphic presentations to collaboration partnersshow a history of active participation in technical society activities preferredProficient with business software applications 
Experience in a few of the following areas: deep neural networks, reinforcement learning, Markov Random Fields, Bayesian networks, semi-supervised learning, computer vision, image processing, signal processing, distributed computing, and/or numerical optimizationSubstantial programming experience is expected, preferably in PythonExperiences with one or more of the following is highly desirable: familiarity with ML frameworks such as Tensorflow, Keras, Pytorch, MXNet, operationalizing ML models, cloud computing (e.g. Google Cloud, AWS, etc.), GPU computing environmentExperience with big-data technologies such as Hadoop/Spark is a plusExperience in oil and gas application is a plus.Must be able to comprehend and communicate accurately, clearly and concisely in English

NO THIRD PARTY CANDIDATES ACCEPTED

Powered by JazzHR","Oil, Gas, Energy & Utilities",2.1,2020-05-07,2020-06-06,FULL_TIME
4,Data Scientist,CGG,TX,Houston,81042,132098,"Company DescriptionCGG is a fully integrated Geoscience company providing leading geological, geophysical and reservoir capabilities.Job DescriptionCGG is currently looking for a creative and results-focused individual who enjoys working on open-ended problems. Your customers are world-class seismic imagers who strive to image the subsurface with a high degree of accuracy and resolution. Your challenge is to analyze the computational activities and demands of seismic imaging and, with your insights, propose solutions and applications for realms widely ranging from resource scheduling and allocations to automation of imaging-related computations in our HPC environment. In a nutshell, we expect you to propose solutions to known problems and also identify new areas where you can add value with your expertise.

We want people who can work with a team to decide what to look for, and who also have the technical ability to go get it. Interest in data mining and machine learning is key, since these are the two areas where you may specialize. You will participate as an engineer on a development team, writing, testing, and deploying code to achieve your goals. We want you if you are an independent thinker and capable of analyzing requirements, extracting data for analysis, and developing algorithms and tools. We process seismic data at the petascale and warehouse information at the terascale. The stakes are high, but your impact can be higher.

Must have current U.S. work authorization or qualify for sponsorshipQualifications


Ph.D.in Computer Science, Math, Statistics, Physics or a closely related field but an equivalent combination of educationand experience will be consideredProven Machine Learning experienceProfessional experience with Deep Learning Neural Network buildingDemonstrated experience with Deep Learning Framework such as Tensorflow and KerasExperience and/or education in at least one of the fields of Big Data, Data Mining, Predictive/Prescriptive Analytics, Optimization, Exploratory Analysis & VisualizationKnowledge of relational databases, data modeling, and schema normalization techniquesFamiliar with SQLPassion for solving complex data engineering and modeling tasksAbility to perform testing based on different hypotheses to determine the impact on key performance indicatorsExcellent analytical skills and the ability to work in a collaborative team environment

Preferred:

Experience in programming (high performance computing is a plus) and developing databasesKnowledge and experience with UNIX (Linux), Java, and XMLKnowledge of Perl, R, and SparkExpertise in designing and implementing efficient algorithms

We wish to thank all applicants for their interest; however, only those candidates selected for an interview will be contacted. EOE

Our focus on performance and passion for innovation are powered by people

Our greatest resource is you Additional InformationAll your information will be kept confidential according to EEO guidelines.","Oil, Gas, Energy & Utilities",3.6,2020-05-06,2020-06-06,FULL_TIME
5,Data Scientist,Sercel,TX,Houston,62195,104201,"Company DescriptionCGG is a fully integrated Geoscience company providing leading geological, geophysical and reservoir capabilities.Job DescriptionCGG is currently looking for a creative and results-focused individual who enjoys working on open-ended problems. Your customers are world-class seismic imagers who strive to image the subsurface with a high degree of accuracy and resolution. Your challenge is to analyze the computational activities and demands of seismic imaging and, with your insights, propose solutions and applications for realms widely ranging from resource scheduling and allocations to automation of imaging-related computations in our HPC environment. In a nutshell, we expect you to propose solutions to known problems and also identify new areas where you can add value with your expertise.

We want people who can work with a team to decide what to look for, and who also have the technical ability to go get it. Interest in data mining and machine learning is key, since these are the two areas where you may specialize. You will participate as an engineer on a development team, writing, testing, and deploying code to achieve your goals. We want you if you are an independent thinker and capable of analyzing requirements, extracting data for analysis, and developing algorithms and tools. We process seismic data at the petascale and warehouse information at the terascale. The stakes are high, but your impact can be higher.

Must have current U.S. work authorization or qualify for sponsorshipQualifications

Ph.D.in Computer Science, Math, Statistics, Physics or a closely related field but an equivalent combination of educationand experience will be consideredProven Machine Learning experienceProfessional experience with Deep Learning Neural Network buildingDemonstrated experience with Deep Learning Framework such as Tensorflow and KerasExperience and/or education in at least one of the fields of Big Data, Data Mining, Predictive/Prescriptive Analytics, Optimization, Exploratory Analysis & VisualizationKnowledge of relational databases, data modeling, and schema normalization techniquesFamiliar with SQLPassion for solving complex data engineering and modeling tasksAbility to perform testing based on different hypotheses to determine the impact on key performance indicatorsExcellent analytical skills and the ability to work in a collaborative team environment

Preferred:

Experience in programming (high performance computing is a plus) and developing databasesKnowledge and experience with UNIX (Linux), Java, and XMLKnowledge of Perl, R, and SparkExpertise in designing and implementing efficient algorithms

We wish to thank all applicants for their interest; however, only those candidates selected for an interview will be contacted. EOE

Our focus on performance and passion for innovation are powered by people

Our greatest resource is you Additional InformationAll your information will be kept confidential according to EEO guidelines.","Oil, Gas, Energy & Utilities",3.4,2020-05-06,2020-06-06,FULL_TIME
6,Pipeline Integrity - Data Scientist,Kinder Morgan,TX,Houston,72752,121296,"Position ResponsibilitiesResponsible for developing and implementing the pipeline Integrity Management Program (IMP) for facilities within the Kinder Morgan Natural Gas Pipelines business unit including developing, implementing, and continuously improving data driven solutions to support a Quantitative Risk Analysis (QRA) model and integrity assessment planning. The Data Scientist will report to the Manager of Risk Engineering.The primary duties of this role are as follows:Design, development, and implementation of new data driven solutions to support Quantitative Risk Analysis (QRA) model and integrity assessment planningDesign, development, and implementation of new data processes to extract, cleanse, integrate, and conform disparate pipeline data sources from across the organization for loading into dimensional data modelsPerform technical design reviews and improvements of existing data processes and data modelsEnsure data architecture will support current and future business requirementsEnsure unit test is completed and meets the test plan requirements, system testing is completed, and system is implemented correctlyCreate and maintain thorough documentation of system architecture and processesIdentify and present potential pipeline integrity process improvements and follow-through with implementation once stakeholder/management agreement for the improvement is obtainedProvide support for other aspects of integrity related programs, processes, and procedures as required Position may be filled at various levels depending on years of experience.

Position Requirements

Position Requirements 3-5 years' experience designing and implementing data driven solutionsExpert knowledge of SQL (including SQL tuning), T-SQL, and other statistical computer languages to manipulate data and draw insightsExperience working in multiple environments (DEV/QA/PROD)Experience using version control toolsAbility to clearly document processes, ETL metadata, and architecture documentsStrong written and verbal communication skills with staff at various levels of technical knowledgeDemonstrates excellent analytical, critical thinking, and problem-solving skillsDemonstrates strong time management and organizational skillsAbility to self-motivate, set goals, prioritize and meet deadlinesBachelor's Degree or higher in Computer Science, Engineering, or other relevant fieldAbility and willingness to perform all essential functions of the position including those listed aboveAbility to effectively organize, plan, prioritize, document, and complete work independentlyMaintain a regular, dependable attendance and high level of performanceWork ConditionsMust be willing and able to work in a corporate environmentExtended periods of sitting may be required Preferred Experience, Skills and Knowledge10+ years' experience designing and implementing data driven solutionsPrior experience with data warehouse modeling, design, development, and implementationExpert knowledge in relational and dimensional data modeling and database design skillsPrior experience working with pipeline industry datasets or implementing a QRA modelFamiliarity with pipeline linear referencing conceptsExperience with ETL and data warehousing of spatial data setsExperience with Safe Software's FME Desktop and FME ServerExperience with distributed data/computing toolsKnowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)Master's Degree or higher in Computer Science, Engineering or other relevant fieldDemonstrated ability to identify gaps in processes and follow through with solutions We are an Equal Opportunity Employer and do not discriminate against applicants due to race, ethnicity, gender, veteran status, or on the basis of disability or any other federal, state or local protected class.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.","Oil, Gas, Energy & Utilities",3.4,2020-05-05,2020-06-06,FULL_TIME
7,Sr Data Scientist,Enbridge,TX,Houston,80375,127865,"Posting End Date:May 10, 2020Employee Type:Regular-Full timeUnion/Non:This is a non-union positionLife takes energy. The Enbridge Technology + Innovation Lab works with data that powers our products to improve safety and reliability. By working hands-on with ground-breaking technology, the lab pioneers the development of innovative products through small agile teams. Our teams incorporate a variety of multidisciplinary skills, including industrial predictive algorithms, machine learning, and sentiment analysis.

As a Data Scientist, you’ll bring a deep understanding of big data and will help the T+IL to build and enable big data analytics solutions.Who you are

You have experience in data science and in senior engineering and technology roles (5+ years) working with product development teams, delivering and building digital productsYou bring a high-energy and passionate outlook to the job and can influence those around themYou’re passionate about innovation with a “can do” attitudeYou understand high performance algorithms and Python statistical softwareYou have experience with lamda architectures and batch and real-time data streamsYou have experience in industry data science (e.g., machine learning, predictive maintenance) preferredYou architect highly scalable distributed systems, using different open source toolsYou're experienced with agile or other rapid development methodsYou are experienced in object oriented design, coding and testing patterns as well as experience in engineering software platforms and large-scale dataYou have deep knowledge of data modeling and understanding of different data structuresYou build a sense of trust and rapport that creates an effective workplaceYou hold a Master’s in Information Technology, Computer Science, or a related quantitative discipline

What you’ll do

You’ll bring deep functional expertise to shape data structures and algorithms in a distinctive way to ensure large-scale business impact of the digital products being built and drive competitive advantage for Enbridge as a wholeYou’ll collaborate with Data Head and developers to find opportunities to use company data to drive business solutions.You’ll mine and analyze data from company systemsYou’ll assess the effectiveness and accuracy of new data sources and data gathering techniques.You’ll develop custom data models and algorithms to apply to data sets.You’ll use Machine Learning and Artificial Intelligence to increase and optimize customer experiences, revenue generation, and other business outcomes.You’ll partner with different functional teams to implement models and monitor outcomes.You’ll conduct data wrangling, munging, exploration, sampling, training data generation, feature engineering, model building, and performance evaluation)You’ll enable big data and batch/real-time analytical solutions that use emerging technologiesYou’ll code, test, and document new or modified data systems to create robust and scalable applications for data analyticsYou’ll ensure all automated processes preserve data by leading the alignment of data availability and integration processes

We build advanced technology products to deliver energy in a safe and reliable way to fuel a rapidly innovating world. Here in our new Technology + Innovation Lab we believe in Agile way of working, focus on our people and value craftsmanship, in a ‘work is play’ environment where we offer a flexible, fun, and modern working style to support individual needs.

Apply now to start a career with unlimited potential!

Diversity and inclusion are important to us. Enbridge is an Equal Opportunity and Affirmative Action Employer. We are committed to providing employment opportunities to all qualified individuals, without regard to age, race, color, national or ethnic origin, religion, sex, sexual orientation, gender identity or expression, marital status, family status, veteran status, Indigenous/Native American status, or disability. Applicants with disabilities can request accessible formats, communication supports, or other accessibility assistance by contacting careers@enbridge.com.

Information For Applicants:

Applications can be submitted via our online recruiting system only.We appreciate your interest in working with us; however, only those applicants selected for interviews will be contacted.Final candidates for this position may be required to undergo a security screening, including a criminal records check.

To learn more about us, visit www.enbridge.com","Oil, Gas, Energy & Utilities",3.1,2020-04-28,2020-06-06,FULL_TIME
8,Data Engineer,CenterPoint Energy,TX,Houston,64950,103449,"CenterPoint Energy and its predecessor companies have been in business for more

than 140 years. We ve created an energy delivery company with electric and

natural gas utility businesses and competitive energy businesses that benefit

our shareholders, customers, employees and communities.

We are committed to our core values of safety, integrity, accountability,

initiative, and respect for customers, investors, employees and communities.

CenterPoint Energy is committed to creating an inclusive work environment where

business results are achieved through the skills, abilities and talents of our

diverse workforce. At CenterPoint Energy, individuals are respected for their

contributions toward our company objectives.

The_Strength_Is_In_Our_Numbers



Approximately 14,000 employees
Operate electric and natural gas utility businesses in 8 states
Competitive energy businesses footprint in nearly 40 states


As Data Engineer, you will identify opportunities to improve reliability and

provide engineering solutions associated with CEHE Distribution system by

analyzing large data sets. You will build actionable dashboards using Tableau

to improve operational efficiencies. Review DDP (Distribution Development

Plans) to identify optimal locations; track and communicate the progress of the

installation and maintenance of IGSDs to internal and external stakeholders.

Specifically,_You ll_Have_The_Opportunity_To



Gather and analyze large amounts of data, perform engineering studies,


prepare written reports, give oral presentations related to pertinent

issues.



Provide various reports with recommendations to management using


databases such as Tableau, Oracle, SQL, Python, Access, Excel macros,

etc.



Review and analyze existing reports to find value in modifying existing


processes.



Uses electrical models (CYME) to analyze circuit loading, identify


operating issues and make reliability and operational recommendations for

the distribution system.



Analyze fault events and develop sequence of events reports following


system disturbances, with data obtained from various sources such as

SCADA and microprocessor relays.



Utilize engineering tools to identify potential reliability issues,


equipment failures, report findings and form recommendations for

solutions.



Perform data verification and data enhancement to mapping and database


systems.



Investigate operational problems on Distribution system.
Support the IGSD deployment with technical expertise.
Coordinates with other groups such as Security, Control Systems, Telecom,


and others to ensure overall success of applications and distribution

assets.



Serve as a department representative on task forces, committees, and


cross-functional teams.

Basic_Qualifications

Qualifications

Bachelor s degree
Minimum of 2 years engineering, data analytics or computer technology


experience.

Preferred



Degree in Electrical, Computer, or System Engineering
Data analytics/data manipulation
Utility or power engineering
Computer experience: Python, Pearl, Oracle Database, Tableau, Access


Database



CYME


This position is located in our north Houston location.","Oil, Gas, Energy & Utilities",3.7,2020-05-01,2020-06-06,FULL_TIME
9,Python Data Engineer,"NRG Energy, Inc.",TX,Houston,77467,121793,"NRG is the leading integrated power company in the U.S., built on the strength of our diverse competitive electric generation portfolio and leading retail electricity platform. A Fortune 500 company, NRG creates value through best-in-class operations, reliable and efficient electric generation, and a retail platform serving residential and commercial businesses. Working with electricity customers large and small, we implement sustainable solutions for producing and managing energy, developing smarter energy choices and delivering exceptional service as our retail electricity providers serve almost three million residential and commercial customers throughout the country.

More information is available at www.nrg.com. Connect with NRG Energy on Facebook and follow us on Twitter @nrgenergy.

Job Summary:

At NRG, we apply advanced analytics and modeling to address challenging business problems. Within our Texas mass markets retail business, which includes Reliant Energy, we aim to promote customized offerings: the right product offered through the right channel, with the right message at the right time for each current or prospective customer. To accomplish this, we leverage our data via predictive modeling, statistical analyses, and optimization. We are looking for a talented data engineer to build robust data pipelines to pull data from various data sources, apply transformation logic, and combine into large datasets that support model building and scoring in production.

Essential Duties/Responsibilities:

Design and develop data pipelines in Python
Abstract, refactor, and package reusable code for broad use
Develop test suites to ensure code works as planned and enable fast edits as business requirements change

Minimum Requirements:

Degree (BS, MS, or PhD) in Computer Science, Electrical and Computer Engineering, Software Engineering, or Information Systems preferred; any STEM BS, MS or PhD with appropriate work experience will be considered.
2+ years of professional Python software design and development
Linux administration experience a plus

Preferred Qualifications:

Expert-level Python programming
Test-driven development
Building and monitoring data pipelines
Proficient with the following Python packages: SQLAlchemy, pandas, sphinx, and pytest
Git
SQL
Continuous Integration and Deployment (Gitlab-ci, Ansible, Jenkins, or equivalent)
Experience developing in containerized environments (Docker, LXC)
Experience with multiprocessing and multithreading in Python
Experience with MongoDB and Redis is a plus
Experience with a pipeline framework like Prefect, Airflow, Luigi is a plus
Experience with AWS or other cloud service a plus

Additional Knowledge, Skills and Abilities:

Ability to design Python software from scratch
Desire to automate everything
Good communication skills
Independent and self-driven worker
Creative problem solver

Physical Requirements:

The worker is required to have close visual acuity to perform an activity such as: preparing and analyzing data and figures; transcribing; viewing a computer terminal; extensive reading.

Working Conditions:

Open office environment.
Some overtime required as special projects arise.
NRG is a fast-paced company with a significant volume of projects. Change is the norm.

#SF-IND

#LI-NF

NRG Energy is committed to a drug and alcohol free workplace. To the extent permitted by law and any applicable collective bargaining agreement, employees are subject to periodic random drug testing, and post-accident and reasonable suspicion drug and alcohol testing. EOE AA M/F/Protected Veteran Status/Disability

EEO is the Law Poster (The poster can be found at http://www.eeoc.gov/employers/upload/poster_screen_reader_optimized.pdf)

Level, Title and/or Salary may be adjusted based on the applicant's experience or skills.

Official description on file with Human Resources","Oil, Gas, Energy & Utilities",3.6,2020-04-25,2020-06-06,FULL_TIME
