,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
0,Data Scientist,Tecolote Research,DC,Washington,74791,102528," 
Data Scientist
 
 Location: Washington, DC  
 Education Required: Bachelor’s degree required, preferably in math, engineering, business, or the sciences.  
 Skills Required:



Bachelor’s Degree in relevant field, e.g., math, data analysis, database, computer science, Artificial Intelligence (AI); three years’ experience credit for Master’s degree; five years’ experience credit for a Ph.D
Applicant should be proficient in the use of Power BI, Tableau, Python, MATLAB, Microsoft Word, PowerPoint, Excel, and working knowledge of MS Access, LMS, SAS, data visualization tools, and have a strong algorithmic aptitude
Excellent verbal and written communication skills, and quantitative analytical skills are required
Applicant must be able to work in a team environment
U.S. citizenship and ability to obtain a DoD Secret Clearance required


 
 Responsibilities: The applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer behavior and trends; delivering insights to stakeholders, as well as designing and crafting reports, dashboards, models, and algorithms to make data insights actionable; selecting features, building and optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data with third party sources of information when needed; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; doing ad-hoc analysis and presenting results in a clear manner; and creating automated anomaly detection systems and constant tracking of its performance.  
 Benefits: 

We offer competitive salaries commensurate with education and experience. We have an excellent benefits package that includes:

Comprehensive health, dental, life, long and short term disability insurance
100% Company funded Retirement Plans
Generous vacation, holiday and sick pay plans
Tuition assistance



Benefits are provided to employees regularly working a minimum of 30 hours per week.

Tecolote Research is a private, employee-owned corporation where people are our primary resource. Our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. Apply now to connect with a company that invests in you.
  
  ",Aerospace & Defense,4.0,2020-05-01,2020-06-06,FULL_TIME
1,Data Scientist,Systems &amp;amp; Technology Research,VA,Arlington,94721,115685,"STR is a government research contractor specializing in advanced research and development for defense, intelligence, and homeland security applications. We pride ourselves in developing cutting-edge technologies with significant and immediate impact on our national security. Our product is our staff; we prioritize cultivating a team of driven and talented scientists and engineers that together culminate into a premier company.

Every Analyst a Scientist - One of our primary goals is to empower intelligence analysts to be able to study their data like scientists. The tools we develop focus on streamlining intelligence analysis through integrated algorithms and software that provide insight into the geopolitical landscape for use in operational intelligence missions around the world.

The Role:

As a Data Scientist, you will live by our motto that “Data is Destiny.” You will work with a diverse collection of massive datasets, including social media, structured and unstructured text, geospatial, time series, and imagery data. You will design, test, and validate statistical tests and machine learning models in support of cutting-edge problems in the national security space. Your expertise as a data scientist will aid a diverse team of researchers to build state-of-the-art tools and technologies that are deployed to extract and enrich intelligence used by analysts. If you would like to help intelligence and defense analysis keep pace with modern machine learning and software techniques, then this role is for you!

Who you are:

A degree in a scientific field such as Statistics, Mathematics, or Computer Science Experience in statistical modeling including performance evaluation and uncertainty quantification Proficiency with a scientific programming language, preferably Python, and familiarity with Numpy, Pandas, and/or Scikit-learn packages Experience in grooming sparse, incomplete, and noisy datasets Motivated collaborator and an excellent communicator of ideas to both technical and non-technical audiences US citizen and willing to obtain a U.S. Security Clearance

Even better:

MS or PhD in a scientific field such as Statistics, Mathematics, Computer Science, or Data Science or 2+ years of relevant work experience Familiarity with handling and analyzing data at scale, for example using Hadoop, Dask, Spark, and MapReduce Working knowledge of data store tools such as SQL and Elasticsearch, and experience interacting with databases Experience with deep learning and neural network training, testing, and evaluation with fluency in Tensorflow or PyTorch Specialized expertise in a data-rich field such as time-series analysis, graph analytics, geospatial analysis, image processing, or Bayesian programming Active U.S. Security Clearance

Compensation:

Competitive salary Comprehensive benefits (Medical, Dental, Vision, Disability, Life) 401k company match Competitive and flexible paid time off Continued higher education reimbursement Profit sharing (Additional match to 401k) Phone reimbursement plan And more!

STR is dedicated to fostering a diverse and inclusive workforce where all employees, regardless of race, ethnicity, gender, neurodiversity, or other personal characteristics, feel valued, included, and empowered to achieve their best. We recognize that each employee’s backgrounds, experiences, and perspectives are essential for providing our customers with innovative solutions to challenging national security problems. STR’s commitment to attracting, retaining, and engaging talented and diverse professionals is demonstrated by our participation, sponsorship, and support in local and national minority organizations.

Applicants must be US Citizens.",Aerospace & Defense,4.7,2020-04-25,2020-06-06,FULL_TIME
2,Data Scientist,Royce Geospatial,VA,Springfield,95407,126717,"Title: Data Scientist

Location:  Springfield, VA - perhaps other locations as well

***Active TS/SCI Security Clearance Required***

Summary

Royce Geospatial Consultants is looking for an energetic and experienced data scientist and or modeling expert with experience working within a Multi-Int environment.

Responsibilities

Works with large structured / unstructured data sets, various rest/wms data services, multiple database programs and collection systems, in a modeling and analytical environment, solving hard intelligence problems and issues.
Uses exploratory data analysis techniques to identify meaningful relationships, patterns, or trends from complex data
Combines applied mathematics, programming skills, analytical techniques, and data to provide impactful insights for decision makers
Researches and implement optimization models, strategies, and methods to inform data management activities and analyses
Applies big data analytics tools to large, diverse sets of collection data to assess risk of adverse threat activities

Qualifications

10 years of experience as an intelligence analyst (single-INT or all-source) utilizing data from multiple intelligence disciplines (HUMINT, SIGINT, GEOINT, OSINT, MASINT) required
Experience using spatial and statistical analysis techniques for performing problem solving against disparate datasets required
Scripting knowledge (JS, Python) is a huge plus and any experience using model based analytics programs like JEMA, NODE RED, etc. and software packages like SAS is beneficial
Active TS/SCI Clearance REQUIRED

Desired Experience

Keyhole Markup Language (KML) and GIS software such as Google Earth, ArcGIS
Experience using Joint Enterprise Modeling and Analytics software (JEMA), FADE/ MIST
Database administration and query languages (predominantly SQL Select statements),
Python expressions or other related scripting languages
HTTP, HTML, CSS and programming languages such as Java, JavaScript, Python and various web service frameworks

Who we are..... ROYCE GEO

We're not your typical government contracting company, nor do we want to be. At Royce GEO, we live for building durable and long-lasting relationships with our clients, providing exceptional service with a CAN'T QUIT / WON'T QUIT attitude. We are creating a culture of winning, optimism, FUN and caring for the ""guy or gal"" next to you. If you want to work in a real team environment and share the wealth and satisfaction of providing real value to your customer, then this company may be just for you. Visit our site: www.RoyceGeo.com

Full Medical | 401K match | Competitive Salary | Robust Training Offering | Generous Paid Time Off

Equal Opportunity Employer

Powered by JazzHR",Aerospace & Defense,5.0,2020-05-01,2020-06-06,FULL_TIME
3,Data Scientist,Akima Management Services,DC,Washington,73030,106117,This company is in a hiring surge in response to COVID-19,Aerospace & Defense,3.2,2020-05-05,2020-06-06,FULL_TIME
4,Sr. Principal Data Scientist,Northrop Grumman,VA,Fairfax,122794,195305,"The Mission Systems Sector Analytics & Insights team is looking for a Sr. Principal Data Scientist to lead analytics for data-driven insights, resulting in more informed decisions ultimately reducing uncertainty and increasing sector-wide performance at an accelerated rate. The ideal candidate is adept at creating data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets. Analysis may have many applications such as to address a business issue or provide a competitive advantage for the organization. Requires strong statistical and data visualization skills.

Must have a proven ability to drive business results with a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. They must be comfortable working with a wide range of stakeholders and functional teams in an agile environment with an emphasis on driving collaboration, quality and speed to market.

This position is in support of the Digital Engineering Center located in Fairfax, VA and requires experience managing and integrating disparate data sources.

Roles & Responsibilities:

• Lead cross-sector analytics challenges with strong data science background.

• Implement strong foundational data science practices within the team, lead peer reviews and code sharing.

• Work with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions.

• Connect to existing databases and analyze data from databases to help drive business decisions across a variety of functions.

• Assess the effectiveness and accuracy of new data sources and data gathering techniques.

• Use predictive modeling to help proactively affect business outcomes

Coordinate with different functional teams to implement models and monitor outcomes.

Qualifications:

Basic Qualifications:

Senior Principal Data Scientist - Bachelor's degree in Computer Science, Statistics, Mathematics, or another quantitative field with 9+ years' experience or a Master's degree in Computer Science, Statistics, Mathematics, or another quantitative field with 7+ years' experience

• Experience developing machine learning models and leveraging statistical analysis to identify insights and trends in big data using Python and/or R

• Experience in SQL or other database querying language

• Experience developing data visualizations in Tableau and Python

• Strong ability to collaborate with stakeholders and communication skills.

• Strong problem solving skills to manipulate data and draw insights from large data sets

• Proven ability to learn and master new software, technologies and techniques

• Ability to obtain a security clearance and US Citizenship

Preferred Qualifications:

• Experience with Agile and Scrum methodologies (Rally, Jira)

• Experience leading data science projects with a team of data scientists

• Strong background with BI tools such as Tableau, SAP Lumira or Power BI

• Experience building and deploying production dashboards.

• Knowledge of new machine learning and visualization libraries in Python

• Experience developing custom Python packages for others to use

Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.",Aerospace & Defense,3.7,2020-05-02,2020-06-06,FULL_TIME
5,Sr Data Scientist,Sierra Nevada Corporation,VA,Herndon,107655,174265,"Data Scientists are revolutionizing the intelligence and defense community by providing insights and understanding of large data sets previously unachievable. At Sierra Nevada Corporation (SNC), data scientists in collaboration with our software developers implement the latest in machine learning, artificial intelligence and data strategies to provide valuable insights to our customers.

In this opportunity at SNC, as a Sr. Data Scientist you will perform data analysis & exploration of a Multi-INT data lake. You ll work closely with our customer to understand their questions and needs, then utilize our solution and tools to find insights and provide valuable data to them. You will explore data from various sources, discover patterns, evolve algorithms and discovery techniques to provide value to our customers mission.PRIMARY RESPONSIBILITIES INCLUDE:

Perform analysis of datasets using commercial tools such as Databricks, Zeppelin and using pythonDevelop algorithms to elicit desired understanding of dataProvide recommendations on additional datasets to be incorporated into data lake to support missionCommunication with customers to understand their needs, provide our findings and recommendations and provide overall status Lead projects to include planning, monitoring, status reporting, communication and delivery of items on timeCreate presentations and papers with results of data analysis. Train & mentor junior data scientists

EDUCATION, EXPERIENCE AND SKILLS REQUIRED:

Experience with Big Data analysis programming techniques and technologies.Knowledge of data science tools and conceptsExperience with analytics, data mining, and problem solving Requires a BA/BS in Related Field.Typically 10+ years of experienceExcellent oral and written communication skills.
An active Top Secret with SCI eligibility U.S. Security Clearance required

IMPORTANT NOTICE:

This position requires an active Top Secret with SCI eligibility U.S. Security Clearance. U.S. Citizenship status is required as this position needs an active U.S. Security Clearance for employment. Non-US citizens may not be eligible to obtain a security clearance. The Department of Defense Consolidated Adjudications Facility (DoD CAF), a federal government agency, handles the adjudicative aspects of the security clearance eligibility process for industry applicants. Adjudicative factors which affect the outcome of the eligibility determination include, but are not limited to, allegiance to the US, foreign influence, foreign preference, criminal conduct, security violations and illegal drug use.

At Sierra Nevada Corporation (SNC) we deliver customer-focused technology and best-of-breed integrations in the aerospace and defense sectors. SNC has been honored as one of the most innovative U.S. companies in space, a Tier One Superior Supplier for the U.S. Air Force, and as one of Americas fastest-growing companies. Learn more about SNCSierra Nevada Corporation is an Equal Opportunity EmployerMinority / Female / Disability / Veteran, or any other protected status

pursuant to applicable local, state or federal law, ordinance or regulation.",Aerospace & Defense,3.2,2020-05-01,2020-06-06,FULL_TIME
6,Data Scientist,Valiant Integrated Services,VA,McLean,70677,117046,"Security Clearance:

Top Secret/Special Compartmented Information with Polygraph (TS/SCI with Poly)

Regular/Temporary:

Regular

Position Description:
Description:Valiant is seeking a Data Scientist. The position requires an active TS/SCI with Polygraph security clearance.
Responsibilities:

Expected to build statistical models, test hypotheses, interpret, summarize, visualize, and succinctly report on data findings.
Perform research on various data sources, to include unstructured data using quantitative and qualitative content analytics.
Construct and perform complex database search queries in multiple databases using SQL and API interfaces
Perform web scraping and apply various techniques for processing unstructured da
Leverage automation and machine learning to manage data, predict scenarios and make recommendations.
Contribute to building new analytical tools and packages across the enterprise and will be expected to collaborate with team members in a highly technical environment.
Expected to learn and leverage emerging technologies including AWS and Git.

CORE VALUES: 

INTEGRITY - Honesty, Trust and Respect in every situation

EXCELLENCE - Performance, Effectiveness, Quality, and Safety in everything we do

INNOVATION - Embracing new ideas and best practice in every service that we provide

Valiant Integrated Services is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

NOTICE: Valiant Integrated Services NEVER asks job applicants to issue any payment or service fees to Valiant or its recruiters as part of our application process. Before providing any personal information to outside parties, verify that the job you are applying for appears on our Careers site.
Position Requirements:

Requirements:

Strong experience working with Python or R programming languages


Experience working with data manipulation, analytic/business insight tools, and data visualization experience
Experience with SciPy stack or Tidyverse packages
Experience constructing and performing complex database search queries
Experience/ knowledge of computer science concepts, data architecture, and experience/knowledge of statistics
Experience /familiarity with statistics and probability including predicative modeling
Experience with visualizing data using popular packages including Tableau, ggplot or Matplotlib
Ability to communicate technical findings to non-technical audiences
Bachelor's degree in a highly quantitative subject or related field ( for example, statistics, mathematics, economics, or related field)
TS/SCI clearance with polygraph required

Desired:

Experience/knowledge of social network and link analysis tools is desired (e.g. Palantir, i2 Analyst's Notebook, or Proton)
Experience designing and implementing neural network architectures

QHSE REQUIREMENTS

Take reasonable care for the Health and Safety of yourself and other persons who may be affected by your actions or omissions.
Conform to all Safety Instructions given by those with a higher responsibility for Health and Safety.
Report all hazards, potential hazards or dangerous situations, including damaged or mislaid personal protective equipment to your Supervisor or Safety Representative.
Report Environmental impacts, anything that results in a change to the Environment as a result of Valiant's activities, products or services.
Participate in the achievement of Valiant's QHSE objectives and targets, both those at departmental and company level.



",Aerospace & Defense,3.3,2020-05-02,2020-06-06,FULL_TIME
7,Data Scientist,Berico Technologies,VA,Springfield,77725,130330,"Join our team dedicated to developing and executing innovative solutions in support of customer mission success.

Job Description:

Novetta is seeking a Data Scientist (Journeyman) in the role of the Maritime Safety Office for second shift 1500-2300.This position is to provide both digital and hardcopy maritime products, services, and data to support worldwide Safety of Navigation. Without accurate and up-to-date nautical products, military platforms are at increased risk when they conduct operations, transport personnel and deliver material. The U.S. Navy has made it clear to NGA that it will continue to require both digital and hard copy maritime products for the foreseeable future. Services procured under this contract will primarily support the production and maintenance of Maritime GEOINT at NCE facilities.

Responsibilities include:

Collect, process, and perform data analysis
Integrate, centralize, protect, and maintain data in a DBMS
Clean, massage, and organize data
Perform ad-hoc analysis and present results in a clear manner
Conduct undirected research and frame open-ended industry / customer questions
Recommend cost-effective changes to existing procedures and strategies
Communicate complex quantitative analysis in a clear, precise, and actionable manner using story-telling / visualization
Create / maintain tools to extract features from a variety of sources including raster to vector, vector to vector, text to vector, and text to database.
Write / maintain Python Scripts in ARCGIS to improve efficiency of the production process.
Support Business Processing Re-Engineering
Perform Data Conversion/migration
Perform Business Analytics
Work with the Government on new production capabilities / services

Basic Qualifications:

3 to 10 years of programming skills with the ability to write / maintain scripts, including Python scripts and Java and familiarity of querying with SQL.
Advanced knowledge in data science, including the areas of data services, modeling, and analytics.
Advanced knowledge of geospatial data management including data type conversion; coordinate systems (latitude and longitude, UTM) and their conversions; and knowledge of projections and their properties / conversions.
Minimum 2 years of experience working with data quality control tools including ArcGIS Data ReViewer.
Proficient with ESRI Workflow Manager WMX and TAM.

Desired Skills:

Experience with combining digital cartography, computer technology, GIS, cartographic and geospatial production techniques, remote sensing, photogrammetry, and digital data formats.
Ability to clean / prune data to discard irrelevant information
Ability to examine data from a variety of angles to determine hidden value, weaknesses, trends, and / or opportunities
Advanced knowledge of ESRI ArcGIS and ArcServer.
Knowledge of database systems and architecture (ORACLE, PostgresSQL, NoSQL (MongoDB), Microsoft Access)
Ability writing SQL
Understanding cloud architecture and DevOps
Knowledge of symbolization rules (how symbols are used to portray features)
Knowledge of generalization rules.
Experience working with geospatial data in a multi-user enterprise environment (i.e., versioning data)
Knowledge of artificial intelligence, natural language processing, and machine to-machine learning.
Knowledge of Metrics dissemination
Ability to convert unstructured data into structured data


Security Clearance: Top Secret SCI

Novetta, from complexity to clarity.

Novetta delivers highly scalable advanced analytics and secure technology solutions to address challenges of national and global significance. Focused on mission success, Novetta pioneers disruptive technologies in machine learning, data analytics, full-spectrum cyber, cloud engineering, open source analytics, and multi-INT fusion for Defense, Intelligence Community, and Federal Law Enforcement customers. Novetta is headquartered in McLean, VA with over 1,000 employees across the U.S.

Our culture is shaped by a commitment to our core values:

Integrity



We hold ourselves accountable to the highest standards of integrity and ethics.


Customer Success



We strive daily to exceed expectations and achieve customer mission success.


Employee Focus



We invest in our employees' professional development and training, respecting individuality and fostering a culture of diversity and inclusion.


Innovation



We know that discovering new and innovative ways to solve problems is critical to our success and makes us a great company.


Excellence in Execution



We take pride in flawless execution as we build a company that is best in class.


Earn a REFERRAL BONUS for the qualified people you know.

For more details or to submit a referral, visit

Novetta is an equal opportunity/affirmative action employer.

All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",Aerospace & Defense,3.5,2020-05-06,2020-06-06,FULL_TIME
8,Data Scientist,The Aerospace Corporation,VA,Chantilly,102641,119000,"Requisition ID: 46971

All Locations: Chantilly, VA (Virginia)

A trusted partner. A national resource. A leader in national security space. We are THE Aerospace Corporation. A team that takes pride in our readiness to solve some of the most complex technical challenges in existence. With challenges spanning clandestine to commercial, you’ll have the unique opportunity to work on projects that are literally evolving our nation's space and launch capabilities. We all share a common passion and aspiration – to serve a mission much bigger than ourselves. When you join our team, you’ll be part of a rare collection of thought leaders and game-changing innovators. Are you ready to launch your career?
Responsibilities
The Machine Intelligence and Exploitation Department applies data analytics, machine learning, and statistical analysis to diverse data types in order to address our customer's analytic needs. The candidate we seek will work with team members across multiple internal organizations and customers to develop innovative data-driven solutions.

Key Functions

Provide expertise in data analytics and algorithm development supporting the integration, analysis and exploitation of diverse data sources with an emphasis on remotely sensed data.
Ability to run and adapt existing machine learning, data mining and statistical algorithms for pattern recognition and anomaly detection.
Ability to create, develop, evolve, and improve machine learning, data mining, statistical, and predictive analytics algorithms for pattern recognition and anomaly detection on large diverse data sets.
Design, develop and advance new methods to extract information from diverse data sources using flexible querying methods, innovative visualization, and data aggregation/integration, data mining and analytical techniques.
Ability to understand the physical phenomenologies in the data.
Familiarity with data fusion techniques to help develop automated data aggregation applications.
Ability to create modular, hierarchical applications that assist in the automation of human activities.
Utilize technical knowledge to deliver high-quality support to multiple Federal Government customers including the oversight of other contractors.

This role can be filled as an Aerospace Senior Member of Technical Staff or Engineering Specialist
Qualifications
Required

Degree from an accredited university in data science, statistics, applied mathematics or computer science. (Degrees in physical science or engineering are also acceptable)
A minimum of 4 years experience post Bachelor’s degree. (Time spent obtaining an advanced degree counts toward this)
Experience with remote sensing and/or signal processing.
Strong desire to gain experience in the application of machine learning, data mining, and statistical algorithms for pattern recognition, anomaly detection, and the development of predictive models.
Strong programming skills in at least one of the following languages: Python, R, Matlab, C++, and JAVA are required with Python being the preference.
Strong written and oral communication skills.
Must be able to work effectively within a diverse team of data scientists, software engineers, and intelligence analysts.
This position requires the ability to obtain and maintain a security clearance, which is issued by the U.S. government. U.S. citizenship is required to obtain a security clearance.

Qualifications for consideration as and Engineering Specialist (In addition)

Required

Strong problem-solving skills.
A minimum of 7 years experience post Bachelor’s experience (Time spent obtaining an advanced degree counts toward this).
Strong software development skills.
Background in signal processing, image science, imagery exploitation, spectral analysis, spatial analysis, and computer vision.

Preferred

Advanced degree in data science, mathematics, statistics, computer science, physical science or engineering.
Experience in Deep Learning.
Experience in Natural Language Processing.
Knowledge of commercial and open-source statistical software packages.
Experience developing data visualizations or visual analytics applications.
Experience with a wide range of databases.
Current Top Secret clearance with SSBI.


Transcript Requirement
Transcripts are required for this position.
Additional Requisition Details

System Job Title: MEMBER-TECH STF

Clearance Requirement: TS/SSBI

Access: SCI

Polygraph: Counter Intelligence Polygraph

Relocation Available: Yes

Employment Type: Regular

Work Schedule: Full Time

Company Statement

The Aerospace Corporation has provided independent technical and scientific research, development, and advisory services to national security space programs since 1960. We operate a federally funded research and development center (FFRDC) for the United States Air Force and the National Reconnaissance Office, and support all national security space programs. We also apply more than 50 years of experience with space systems to provide critical solutions to technologically complex systems in such areas as communications, shipping, law enforcement, and cyber, among others.

From our inception, our highly skilled technical staff has focused on ensuring the success of every mission and developing the most effective and economic space-related hardware and software in the world. Our greatest asset is the technical expertise of our people. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world.

Equal Opportunity Commitment

The Aerospace Corporation is an Equal Opportunity/Affirmative Action employer. We believe that a diverse workforce creates an environment in which unique ideas are developed and differing perspectives are valued, producing superior customer solutions. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, gender, gender identity or expression, color, religion, national origin, sexual orientation, protected veteran status, or disability status.

You can also review The Equal Employment Opportunity is the Law poster and the supplement, as well as the Pay Transparency Policy Statement.

Nearest Major Market: Washington DC

Job Segment:

 Database, Scientific, Engineer, Scientist, Security Clearance, Technology, Engineering, Science, Government",Aerospace & Defense,3.8,2020-05-07,2020-06-06,FULL_TIME
9,Data Scientist,Axiologic Solutions,VA,Reston,74963,121611,"






Position Description








Data Scientist


Location



Reston, VA


Job Code

524


# of openings

1



Apply Now
Overview:

Based in Northern, VA, Axiologic Solutions LLC has opportunities for you to become part of our high-quality team that delivers innovative solutions to key federal clients. We are currently seeking a Data Scientist to oversee and manage complex, state of the art, new unique programs and projects related to information technology.

Responsibilities:

Develop and presents issues, conclusions, and recommendations to senior leadership based on reviews and evaluations.
Directs and conducts analysis of requirements pertaining to Agency programs and objectives.
Examines policies to identify those affecting programs and determines approaches to resolving issues
Identify problem areas, define the nature and scope of the problem and objectives sought.
Work with a team to design, implement, and maintain new systems.
Provide guidance to the customer on best-practices.
Perform other duties as assigned.

Qualifications:

Must have an active/current TS/SCI and be able to pass a CI Poly.
Approximately ten (10) years of experience in information systems development, focused on processing large volume, near-real time data feeds to meet data analytics and security requirements.
Experience and knowledge of tools associated with multiple intelligence missions.
Bachelor’s Degree in computer science, information systems management, mathematics, engineering, or other relevant discipline.
Knowledge of web services feeds
Demonstrated work experience in architecting new system solutions using current technologies, as well as transitioning existing systems into modern technologies without negatively impacting operational and compliance requirements.
Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists, etc.
Demonstrated experience as a SME to prioritize and meet tactical and strategic requirements for frameworks and systems to process data.
Demonstrated experience in information systems development across the IT lifecycle, with a focus on systems to perform high volume and velocity data processing on disparate data types/formats.
Demonstrated experience architecting and delivering automated and scalable data process monitoring and data quality systems and processes.
Must be a diverse thinker and be able to work in a large group setting.
Write and edit technical documents and reports;
Write, edit, and produce contents for contract deliverables: reports, training materials, presentation slides, letters, fact sheets, diagrams, and capability statements.
Effectively communicate project expectations to team members and stakeholders in a timely and clear fashion.
Communicate formally and informally through existing forums to stakeholders at all levels, including senior leadership.
AWS, Atlassian Suite products like Jira/Confluence and AWS Cloud experience desired.

Work Environment:

This is a full-time position, requiring 40 hours per week Monday through Friday within the contract hours of 6:00 a.m. to 6:00 p.m.

Travel Requirements:

Travel may be required both inside and outside the Washington National Capital Region (NCR).



Equal Opportunity Employer–minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity.

Applicants with a physical or mental disability, who require a reasonable accommodation for any part of the application or hiring process, may e-mail their request to Jennifer.chavira@axiologicsolutions.com, call 571-758-3780, or visit our office at 8280 Willow Oaks Corp. Dr. Suite 450, Fairfax Virginia for assistance. Determinations on request for reasonable accommodation will be made on a case-by-case basis.



",Aerospace & Defense,4.4,2020-05-07,2020-06-06,FULL_TIME
