,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
0,Data Scientist,University of Maryland,MD,College Park,90874,109430,"The CATT Lab is searching for a talented junior data scientist that can provide analytics support to help solve transportation, safety and security problems. The junior data scientist will familiarize himself/herself with the CATT Labs transportation datasets and tools to help support CATT Labs reporting and visualization needs. This person should be experienced with extracting and transforming data to deliver analytical solutions, methodologies, models and dashboards using Tableau, SQL and R. The junior data scientist should be proficient with SQL and passionate about working with big data and comfortable joining multiple datasets from relational database and/or big data environments for analysis. The junior data scientist should possess technical expertise and be able to perform independent research and analysis and provide concise updates to the Lead Data Scientist. Good communication skills, organization, time management, and a will to learn are essential.",Education,4.3,2020-04-28,2020-06-06,FULL_TIME
1,Lead Data Science Instructor,General Assembly,DC,Washington,113827,160706,"Since 2011, General Assembly has transformed tens of thousands of careers through pioneering, experiential education in today's most in-demand skills. As featured in The Economist, Wired, and The New York Times, GA offers training in web development, data, design, business, and more, both online and at campuses around the world. Our global professional community boasts 40,000 full- and part-time alumni — and counting.

In addition to fostering career growth for individuals, GA helps employers cultivate top tech talent and spur innovation by transforming their teams through strategic learning. More than 21,000 employees at elite companies worldwide have honed their digital fluency with our corporate training programs. GA has also been recognized as one of Deloitte's Technology Fast 500, and Fast Company has dubbed us leaders in World-Changing Ideas as well as the #1 Most Innovative Company in Education.

We are looking for a Data Scientist to facilitate our local class.

Our Data Science Immersive course is a life-changing educational experience where students leave with the skills and mindset to take on new careers in a wide variety of Data Science roles.

Why Be a Part of the Data Science Immersive?

If you are looking to make a life-changing impact by doing what you know and love, this is the position for you. Through this unparalleled opportunity, you will:


Deepen your own skills by guiding students through a rigorous journey where they begin as driven novices and leave as empowered data analysts and scientists
Contribute your own expertise to a deep and broad global curriculum maintained by a team of talented data science instructors across multiple industries
Facilitate a supportive and energetic community that lasts well beyond the course
Hone your own leadership skills by working with an instructional team and classroom community

As a member of the instructional team, you will not only impact the careers of your own students, but you'll also have a unique opportunity to shape the potential of students on a global scale through contributions to our global curriculum.

Skills and Qualifications



Must Haves:


You have at least 6 months of professional data science experience.
You are an expert in SQL, Python, and related Python libraries (pandas, numpy).
You have domain expertise in statistics, mathematics, and probability.
You can build and apply statistical models in python using machine learning libraries, such as scikit-learn and statsmodels.
You have a deep understanding of statistical hypothesis testing and experimental design, data visualization techniques and tools (i.e. matplotlib, bokeh, etc), and manipulation of large data sets.
You can demonstrate and explain the function of machine learning algorithms such as regularized regression, naive bayes, decision trees, ensemble methods, KNN, K-means clustering, and neural networks.
You are the person your colleagues naturally gravitate to when they are trying to figure something out.
You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists.




Nice to haves:


You have proficiency with NLP python libraries such as NLTK; Hadoop or Apache Spark; D3.js or R.
You are on top of industry trends in big data, machine learning, deep learning, and AI.
You have previous data science or engineering teaching experience, through a course, workshop, team training, etc.


Responsibilities and Duties

Plan and implement a 12-week curriculum in conjunction with baseline materials and your local instructional team.
Deliver instruction 5 days a week, including teaching, advising, and content development.
Work closely with your instructional team to provide students with meaningful and prompt feedback on their progress.
Collaborate alongside GA staff in order to best meet the needs and learning styles of your students.
Guide students through the development of real world projects that will showcase their abilities to hiring managers.
Facilitate a dynamic and collaborative classroom community.
Inspire students to persevere through the challenges of learning complex subjects.
Contribute to the material and direction of an expanding global curriculum, ensuring the course remains cutting-edge and effective for students worldwide.

General Assembly is a licensed school in all states that we operate in, and some states require instructors to be licensed to teach. If hired, you will be required to submit and be approved as an instructor in relevant states. Directions for becoming licensed will be shared with you during onboarding. Licensure requirements vary by state, but you may be required to provide academic transcripts and to answer questions pertaining to moral character, professional conduct, education, and work history. General Assembly will pay for all licensing fees.",Education,3.6,2020-04-24,2020-06-06,PART_TIME
2,Post-Doctoral Scientist,George Washington University,DC,Washington,53612,91099,"GW's Department of Environmental and Occupational Health (EOH) looks at how environmental and occupational exposures impact human health. It explores the underlying science and policy for issues such as sustainable cities and food systems, climate change mitigation, workplace safety and risk management. Additional information on EOH can be found at the following link: http://publichealth.gwu.edu/departments/environmental-and-occupational-health.

EOH is searching for a full-time Post-Doctoral Scientist for the research group of Associate Professor Dr. Susan Anenberg. Dr. Anenbergs main interests are quantifying health impacts of climate change and air pollution from local to global scales, including developing scientific methods and evaluating policy scenarios for mitigation. This research is interdisciplinary and draws from a variety of fields, including atmospheric science, epidemiology, and economics.

This position will support activities on funded research grants aimed at improving understanding of air quality, climate change, and public health in cities worldwide. This position will aid Dr. Anenberg in designing and implementing novel studies related to modeling the health implications of present and future climate change and air pollution. The individual will be involved in all aspects of research including directing and performing computer-based modeling work, analyzing and interpreting data, and preparing manuscripts and presentations. In conjunction with Dr. Anenberg, other department investigators, and outside collaborators, the individual will identify research opportunities and prepare proposals for new extramural funding. The individual will also receive mentoring and direct guidance from the Principal Investigator and her groups Research Scientist in order to advance their career in academic research, public health practice, and/or public policy.

This position is primarily a temporary/training position in which the incumbent plays a substantive role in planning and conducting research by using quantitative and qualitative methods to collect, analyze and report data activities. In collaboration with the Principal Investigator, this role will participate in the planning of independent research, will analyze and interpret data, will publish results, will represent the university at conferences and meetings, and may develop new theories and methodologies. This position may also help the Principal Investigator to lead and direct the work of lower level research staff. This role performs work under the supervision of experienced researchers.

This position is for a 1 year duration beginning August 2020 or sooner. The position may be renewed for a 2nd year depending on satisfactory performance and funding availability.

Responsibilities include:

Develop and run computer programs linking emissions, atmospheric pollution levels, and health impacts
Use satellite-derived air quality products to estimate air pollution levels in cities worldwide
Develop communications materials and organize team and stakeholder meetings to disseminate environmental science and public health information to end users.
Plan and conduct independent research; write and publish peer-reviewed manuscripts
Prepare and submit grant proposals
Provide support with data management and computer modeling tasks and guidance to junior staff
Performs other related duties as assigned. The omission of specific duties does not preclude the supervisor from assigning duties that are logically related to the position.


Incumbent is expected to work well as part of multi-disciplinary teams and have enthusiasm for conducting research at the nexus of environmental science and policy.",Education,3.8,2020-05-07,2020-06-06,FULL_TIME
3,"Post-Doctoral Scientist, Quantitative Microbial Ecology",George Washington University,DC,Washington,53612,91099,"The Antibiotic Resistance Action Center (ARAC), located within the GWs Department of Environmental and Occupational Health (EOH) in the School of Public Health, seeks a postdoctoral scholar to conduct research at the interface among quantitative modeling, microbial genomics, antibiotic resistance, global food transport and trade, human travel, and the global ecology of opportunistic pathogens.

Dr. Cindy Lius main interest is to develop innovative solutions to prevent, diagnose, and treat opportunistic bacterial infections by better understanding the ecology and biology of the human microbiome. The groups current portfolio of funded projects includes multiple international microbiome cohort and longitudinal studies. In addition, multiple new projects involving large-scale ecological studies in the US and internationally are under development.

Reporting to Dr. Liu, the Post-Doctoral Scientist will work with her human microbiome research group in analysis of existing large microbiome datasets. In additional to working with Dr. Liu and her group, the Post-Doctoral Scientist will also work closely with the Director of ARAC, Professor Dr. Lance Price, and the Center for Ecosystem Science & Society at Northern Arizona University, a center that conducts research in ecosystem science at scales from the cell to the globe.

In collaboration with Dr. Liu, Dr. Price, and outside collaborators, the Post-Doctoral Scientist will have following responsibilities:



Plans and conducts research by designing and implementing novel studies related to antibiotic resistance and microbial ecology in a controlled laboratory setting.
Develops novel ecological models based on research questions of interest.
Plans of independent research, analyzes and interprets data.
Prepares abstracts, presentations, and manuscripts. May represent the university at conferences and meetings.
Contributes to research proposals for new extramural funding.


The position is a limited term position for 12 months from the start of the assignment, with the opportunity for extension after successful completion of the first year.

The position is based at GWs Foggy Bottom Campus in Washington, DC. The incumbent may perform other related duties as assigned. The omission of specific duties does not preclude the supervisor from assigning duties that are logically related to the position.",Education,3.8,2020-05-07,2020-06-06,FULL_TIME
4,"Post-Doctoral Scientist, Quantitative Microbial Ecology",George Washington University,DC,Washington,53612,91099,"The Antibiotic Resistance Action Center (ARAC), located within the GWs Department of Environmental and Occupational Health (EOH) in the School of Public Health, seeks a postdoctoral scholar to conduct research at the interface among quantitative modeling, microbial genomics, antibiotic resistance, global food transport and trade, human travel, and the global ecology of opportunistic pathogens.

Dr. Cindy Lius main interest is to develop innovative solutions to prevent, diagnose, and treat opportunistic bacterial infections by better understanding the ecology and biology of the human microbiome. The groups current portfolio of funded projects includes multiple international microbiome cohort and longitudinal studies. In addition, multiple new projects involving large-scale ecological studies in the US and internationally are under development.

Reporting to Dr. Liu, the Post-Doctoral Scientist will work with her human microbiome research group in analysis of existing large microbiome datasets. In additional to working with Dr. Liu and her group, the Post-Doctoral Scientist will also work closely with the Director of ARAC, Professor Dr. Lance Price, and the Center for Ecosystem Science & Society at Northern Arizona University, a center that conducts research in ecosystem science at scales from the cell to the globe.

In collaboration with Dr. Liu, Dr. Price, and outside collaborators, the Post-Doctoral Scientist will have following responsibilities:



Plans and conducts research by designing and implementing novel studies related to antibiotic resistance and microbial ecology in a controlled laboratory setting.
Develops novel ecological models based on research questions of interest.
Plans of independent research, analyzes and interprets data.
Prepares abstracts, presentations, and manuscripts. May represent the university at conferences and meetings.
Contributes to research proposals for new extramural funding.


The position is a limited term position for 12 months from the start of the assignment, with the opportunity for extension after successful completion of the first year.

The position is based at GWs Foggy Bottom Campus in Washington, DC. The incumbent may perform other related duties as assigned. The omission of specific duties does not preclude the supervisor from assigning duties that are logically related to the position.",Education,3.8,2020-05-07,2020-06-06,FULL_TIME
5,Computer Scientist - Machine Learning Hardware,University of Southern California,VA,Arlington,72789,98012,"Information Sciences Institute (ISI), a unit of USC’s Viterbi School of Engineering, is a world leader in the research and development of advanced information processing, computing, and communications technologies. ISI operates one of the world’s largest academic high-performance computing clusters. ISI has three research campuses: one in Marina Del Rey, CA; one in Arlington, VA; and one in Waltham, MA.

*This position is located in Arlington, VA.*

The Reconfigurable Computing Group at the University of Southern California’s Information Sciences Institute is a long-time pioneer of research investigating Field Programmable Gate Arrays. Spanning the days of homogeneous logic devices to today’s billion transistor System on Chip devices, RCG has led the way from being the first to implement application level partial runtime reconfiguration, investigating 3D FPGA architectures, developing Autonomous System on Chip architectures, releasing open source CAD tools which target real physical devices, IP to address software / hardware co-design complexity and continues today with research ranging from developing programming models for next generation industry devices to conducting experiments on the International Space Station. Today, RCG is addressing our nation’s challenges in big data, hardware cybersecurity, trusted systems, cognitive radio and more.

USC/ISI is looking for highly talented, motivated researchers to lead and impact state of the art research and development in the areas of Machine Learning (ML) and Reconfigurable Computing. This position will lead research in algorithm development for custom ML tools which target FPGA and ASIC front end design. These tools solve challenging problems in algorithm development of Machine Learning architectures targeting FPGA and ASIC platforms, including embedded and cloud FPGA-based systems. The position will also investigate hardware security, high level abstraction for hardware design, and machine learning acceleration for critical systems. Realize effectiveness of solutions on physical FPGAs and custom ASIC fabrication. Lead research, propose major innovations, collaborate with peers within the group and across ISI, publish results in top tier conferences, and contribute to or lead proposals.

Required Qualifications

This position requires access to sensitive data such as Controlled Unclassified Information (CUI). According to U.S. government regulations, ONLY U.S. citizens are eligible for access to CUI.PhD in Computer Engineering, Electrical Engineering, or Computer Science with expertise in Machine Learning algorithms and computer architectures targeting FPGAs or ASICs.Previous publication, patents, or other displays of innovation in machine learning with FPGAs, such as Convolutional Neural Networks, LSTMs, and Transformers.Expertise with Machine Learning Toolkits, such as PyTorch, Keras, and TensorFlowExperience with Xilinx or Intel FPGA High-Level Synthesis tools.

Preferred Qualifications:

Five years of experience designing, developing, implementing, and debugging Machine Learning applications for FPGAs, including Xilinx Virtex7 or newer architectures. Experience with Intel and Stratix-10 devices also desirable.Five years of Python and C++/Java development experience, including contributions to large-scale software projects, commercial or open-source.Training and Inference with publicly available models (ResNet, VGG) and the development of custom models targeting FPGAs.Use of FPGA-based Cloud Environments, such as Amazon AWS F1, Nimbix Cloud, Azure Cloud, Xilinx Alveo Accelerators.Proficiency in software cross-compiling and cross-debugging.Experience with multi-processor system-on-chip, embedded systems software (Linux, cross-compilers) and Python productivity for FPGAs (i.e. Pynq).Experience leading or contributing to proposals a significant plus.

The University of Southern California values diversity and is committed to equal opportunity in employment.Minimum Education: Master's degree, Combined experience/education as substitute for minimum education

Minimum Experience: 3 years

Minimum Field of Expertise: Knowledge of research processes and computer science.

USC is an equal opportunity, affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other characteristic protected by law or USC policy. USC will consider for employment all qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring ordinance. We provide reasonable accommodations to applicants and employees with disabilities. Applicants with questions about access or requiring a reasonable accommodation for any part of the application or hiring process should contact USC Human Resources by phone at (213) 821-8100, or by email at uschr@usc.edu. Inquiries will be treated as confidential to the extent permitted by law.

Read USC’s Clery Act Annual Security Report

Required Legal Notices

Certain positions are subject to background screening

If you are a current USC employee, please apply to this USC job posting in Workday by copying and pasting this link into your browser:https://wd5.myworkday.com/usc/d/inst/1$9925/9925$42305.htmld",Education,4.2,2020-05-07,2020-06-06,FULL_TIME
6,Assistant Research Scientist,University of Maryland,MD,College Park,56687,106827,"The University of Maryland Applied Research Laboratory for Intelligence and Security (ARLIS) seeks to hire an Assistant Research Scientist to work on projects that involve applying psychology knowledge and methods to security or intelligence problems and domains. For instance, the scientist may work on social influence and how to counteract disinformation; computational linguistic methods of detecting individual differences, such as personality; selection and performance appraisal of individuals in cyber security jobs; and detecting and mitigating insider threat and building insider trust.

Duties:

Work with multidisciplinary teams of research scientists (e.g.,data scientists, linguists, psychologists, computer scientists) to design and carry out research
Review and synthesize existing literature
Prepare applications and maintain records for the Institutional Review Board (IRB)
Direct and conduct data collection in a variety of settings and using a variety of methods
Train faculty research assistants and undergraduate assistants
Analyze data qualitatively and quantitatively, such as applying established and new analysis methods to novel data sets
Develop new analysis methods and design methods, such as for deploying detection measures for possible insider threat in the field
Prepare presentations, reports, and scholarly publications related to research


This is a full-time position with benefits. The position is subject to the availability of funding. The applicant must have an interest in building expertise in and conducting research in applied psychology.",Education,4.3,2020-05-05,2020-06-06,FULL_TIME
7,Computer Scientist - Reconfigurable Computing,University of Southern California,VA,Arlington,62423,144538,"USCs Information Sciences Institute (ISI), a unit of the universitys Viterbi School of Engineering, is a world leader in the research and development of advanced artificial intelligence, information processing, computing, and communications technologies. ISIs 400 faculty, professional staff and graduate students carry out extraordinary information sciences research at three distinct locations - Marina Del Rey, CA; Arlington, VA; and Waltham, MA.

*This position is located in Arlington, VA.*

The Reconfigurable Computing Group at the University of Southern Californias Information Sciences Institute is a long-time pioneer of research investigating Field Programmable Gate Arrays. Spanning the days of homogeneous logic devices to todays billion transistor System on Chip devices, RCG has led the way from being the first to implement application level partial runtime reconfiguration, investigating 3D FPGA architectures, developing Autonomous System on Chip architectures, releasing open source CAD tools which target real physical devices, IP to address software / hardware co-design complexity and continues today with research ranging from developing programming models for next generation industry devices to conducting experiments on the International Space Station. Today, RCG is addressing our nations challenges in big data, hardware cybersecurity, trusted systems, cognitive radio and more.

USC/ISI is looking for highly talented, motivated researchers to lead and impact state of the art research and development in the area of reconfigurable computing. This position will lead research in algorithm development for custom internal tools which target FPGA and ASIC front end design. These tools solve challenging problems in hardware security, high level abstraction for hardware design, and machine learning acceleration for critical systems. Realize effectiveness of solutions on physical FPGAs and custom ASIC fabrication. Lead research, propose major innovations, collaborate with peers within the group and across ISI, publish results in top tier conferences, and contribute to or lead proposals.

Fixed term position: 1 yr with 1 yr renewals

Required Qualifications

Applicants selected for this position will require access to ITAR materials. According to U.S. government regulations, ONLY U.S. citizens OR lawful permanent residents (green card) are eligible for ITAR access.

PhD in Computer Engineering, Electrical Engineering, or Computer Science required.Experience with Machine Learning and/or Graph partitioning algorithms targeting FPGAs or ASICs.Experience designing, developing, implementing, and debugging firmware for FPGAs, including Xilinx Virtex7 or later architectures. Experience with Intel Aria-10 and Stratix-10 devices also desirable.C++/Java and Python development experience, including contributions to large-scale software projects, commercial or open-source.Solid understanding of CAD algorithms including synthesis, partitioning, mapping, placing, and routing.Expert level use of Xilinx or Intel FPGA implementation tools, including High level synthesis.Previous publications, patents, or innovations related to FPGA productivity, CAD or EDA algorithms and tools.

Preferred Qualifications:

Detailed understanding of mapped and unmapped netlist formats, such as EDIF, XDL, and structural Verilog.Proficiency in software cross-compiling and cross-debuggingExperience with Torc, ABC, VPR, VTR, RapidSmith, GoAhead, or similar tools a plus.Experience with Amazon EC2 F1 instances or related FPGA-based cloud platforms.Experience with multi-processor system-on-chip, embedded systems software (Linux, cross-compilers) and Python productivity for FPGAs (i.e. Pynq).Experience leading or contributing to proposals a significant plus.

The University of Southern California values diversity and is committed to equal opportunity in employment.Minimum Education: Master's degree, Combined experience/education as substitute for minimum education

Minimum Experience: 3 years

Minimum Field of Expertise: Knowledge of research processes and computer science.",Education,4.2,2020-04-30,2020-06-06,FULL_TIME
8,Computer Scientist - Reconfigurable Abstraction Researcher,University of Southern California,VA,Arlington,52647,121734,"USCs Information Sciences Institute (ISI), a unit of the universitys Viterbi School of Engineering, is a world leader in the research and development of advanced artificial intelligence, information processing, computing, and communications technologies. ISIs 400 faculty, professional staff and graduate students carry out extraordinary information sciences research at three distinct locations - Marina Del Rey, CA; Arlington, VA; and Waltham, MA.

*This position is located in Arlington, VA.*

Information Sciences Institute (ISI) is looking for highly talented, motivated researchers to lead and impact state-of-the-art research and development in the area of reconfigurable computing. The Reconfigurable Computing Group (RCG) is a pioneer of research related to field programmable gate arrays (FPGAs) including architecture, tools, applications, hardware trust, and security. It works closely with leading agencies such as DARPA, IARPA, and NASA where reconfigurable computing is a critical technology. Spanning the days of homogeneous logic devices to todays billion transistor system on a chip devices, RCG has led the way from being the first to implement application-level partial runtime reconfiguration, investigating 3D FPGA architectures, developing autonomous system on chip architectures, releasing open source CAD tools that target real physical devices, and IP to address software/hardware co-design complexity. Today, RCG is addressing our nations challenges in big data, hardware cybersecurity, trusted systems, cognitive radio and more.

This position will lead the research and technical direction of RCGs thrust in Abstractions for Reconfigurable Computing, which enable traditional software developers to develop FPGA and ASIC designs and increase the productivity of hardware designers. Architect and lead the development of complex platform tools which support highly specialized domains. Perform research on ground breaking CAD solutions, including integration with higher level hardware/software co-design and HLS solutions, and deployment in Amazon AWS F-1. Realize effectiveness of solutions on physical FPGAs and custom ASIC fabrication. Lead research, propose major innovations, collaborate with peers within the group and across ISI, publish results in top tier conferences, and contribute to or lead proposals.

Required Job Qualifications

Qualified candidates for this position must be willing and eligible to apply for a collateral Secret clearance. Per U.S. government regulations, eligibility for this clearance requires U.S. citizenship. Current SECRET clearance or higher is a plus.PhD or equivalent experience in Electrical Engineering, Computer Engineering, or Computer Science with experience in Verilog/VHDL/C programming for FPGAs.Five years of strong Python/C++ development experience, including demonstrable contributions to large-scale Python/C++ projects. Commercial or open-source development experience a plus.Five years of experience designing, developing, implementing, and debugging firmware for FPGAs, including Xilinx Virtex7 or later architectures. Experience with Intel Aria-10 and Stratix-10 devices also desirable.Experience with multi-processor system-on-chip, embedded systems software (Linux, cross-compilers) and Python productivity for FPGAs (i.e. Pynq).Detailed understanding of mapped and unmapped netlist formats, such as EDIF, XDL, and structural Verilog.Proficiency in hardware development in VHDL or Verilog, or SystemC or SystemVerilog.Previous publications, patents, or innovations related to FPGA productivity, CAD or EDA algorithms and tools.

Preferred Job Qualifications

Experience with Amazon EC2 F1 instances or related FPGA-based cloud platforms.Experience with Torc, ABC, VPR, VTR, RapidSmith, GoAhead, or similar commercial tools a plus.Experience in device level reliability, fault tolerance, or security a plus.Experience leading or contributing to proposals a significant plus.

The University of Southern California values diversity and is committed to equal opportunity in employment.Minimum Education: Master's degree, Combined experience/education as substitute for minimum education

Minimum Experience: 3 years

Minimum Field of Expertise: Knowledge of research processes and computer science.",Education,4.2,2020-04-30,2020-06-06,FULL_TIME
9,Molecular Cell Biology and Animal Model Research Scientist,George Mason University,VA,Fairfax,58240,101845,"Molecular Cell Biology and Animal Model Research Scientist

The George Mason University Laboratory of Biomaterials and Nanomedicine, in the Department of Bioengineering at the Institute for Advanced Biomedical Research (IABR), seeks a research scientist to work in a multidisciplinary team aiming to develop effective delivery systems for mRNA using polymers, lipids, synthetic chemistry, conjugates, and microfluidic systems. The IABR is located on the SciTech Campus of George Mason University in Manassas, Virginia (https://scitechcampus.gmu.edu/) and is part of the greater Washington D.C. area, with close proximity to several collaborative research facilities. George Mason University has a strong institutional commitment to the achievement of excellence and diversity among its faculty and staff, and strongly encourages candidates to apply who will enrich Masons academic and culturally inclusive environment.

About George Mason University:

Mason is the largest public research university in Virginia, with an enrollment of nearly 38,000 students studying in more than 208 degree programs. Mason is an innovative, entrepreneurial institution with national distinction in a range of academic fields. The Carnegie Classification of Institutions of Higher Education ranks George Mason University in its top tier of research institutions, with total research expenditures reaching an all-time high of 149 million in sponsored research expenditures for the fiscal year 2018, making good progress toward the universitys strategic goal of $225 million by 2024. Mason stands at the doorstep of the Washington, D.C. metropolitan area, with unmatched geographical access to a number of federal agencies and national laboratories. The Northern Virginia business community includes many Fortune 500 companies.

In addition to its 677-acre main campus in Fairfax, Mason has campuses in Arlington and Prince William counties in Virginia, as well as an international campus in Songdo, Korea. Reflective of the universitys strong commitment to biomedical research and biotechnology is the recent launch of the $40 million, 75,000-square-foot Institute for Biomedical Innovation, and a strategic partnership focused on personalized health with Inova, the largest health system in Northern Virginia.

About the Department:

The Volgenau School of Engineering at George Mason University is a fast-growing force for innovation in technology and education. Its fall 2019 enrollment was close to 8,000 students in 37 undergraduate, masters, and doctoral degree programs, including several first-in-the-nation offerings. As part of a nationally ranked research university, the engineering schools research teams earned more than $68 million in sponsored research awards in the last 12 months. Located in the heart of Northern Virginias technology corridor, Mason Engineering is known for its leadership in emerging areas including big data, cybersecurity, health care technology, robotics and autonomous systems, signals and communications, and sustainable infrastructure.

Responsibilities:

Develop mammalian cell culture, flow cytometry, and fluorescent microscopy and assays;

Develop/evaluate mRNA delivery technologies using quantitative in vitro assays;

Perform animal studies of mRNA delivery systems;

Perform in vitro transcription of mRNA from plasmids, qPCR, protein analysis, intra- and extra-cellular staining, plasmid cloning, and sequence modifications;

Demonstrate basic conceptual understanding of broad genomic technologies such as next-gen sequencing, RNA Seq, RNAi (shRNA/siRNA), and CRISPR gene editing;

Plan and execute experiments and analyze data independently.

Required Qualifications:

PhD degree in the biological sciences or related field, obtained by the start date of the position;

2-5 years of relevant laboratory experience;

Strong molecular/cellular biology skills;

Attention to detail, critical analysis of data, and troubleshooting abilities;

Excellent communication and presentation skills.

Preferred Qualifications:

Experience with animal models and animal handling.
",Education,4.1,2020-04-24,2020-06-06,FULL_TIME
