,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
0,Data Scientist,GEICO,MD,Chevy Chase,69285,113337,"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.

Expected Qualifications:


Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2 years of combined academic/industry experience with predictive modeling, machine learning, advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes

 About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.
Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans Medical, dental, vision and life insurance Paid vacation, holidays and leave programs Tuition reimbursement Associate assistance program Flexible spending accounts Business casual dress Fitness and dining facilities (at most locations) Associate clubs and sports teams Volunteer opportunities GEICO Federal Credit Union 
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply
Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.#LI-JW1",Insurance,3.3,2020-05-02,2020-06-06,FULL_TIME
1,Senior Data Scientist,GEICO,MD,Chevy Chase,85683,136550,"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.

Expected Qualifications:

Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.
4 years of experience in designing, developing, evaluating, and deploying predictive modeling, machine learning, advanced analytics
Deep understanding and experience with advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, and graph analytics.
Superior coding skills using common data science tools, including Python (strongly preferred), R, Linux/Unix command line and shell scripting.
Excellent skill and significant experience in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Strong experience with distributed storage and big data computing technology, such as AWS, Hadoop, or Spark
Excellent communication skills and experience in working with stakeholders
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes

About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.
Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:401(k) and profit-sharing plansMedical, dental, vision and life insurancePaid vacation, holidays and leave programsTuition reimbursement Associate assistance program Flexible spending accounts Business casual dressFitness and dining facilities (at most locations)Associate clubs and sports teamsVolunteer opportunities

Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply
Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.#LI-JW1",Insurance,3.3,2020-05-02,2020-06-06,FULL_TIME
2,Principal Data Scientist,GEICO,MD,Chevy Chase,103866,170229,"GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business valueBuild relationships with partner teams, frame and structure questions, as well as summarize and present key insights to both technical and non-technical audiencesCollaborate with stakeholders to gather, consolidate, and validate business expertise throughout the project lifecycleWork with analysts to document requirements, assumptions, and methodology including validation, testing, and implementation strategiesCoach, mentor, and guide data scientists to advance their career development in both technical and non-technical areasFacilitate regular peer reviews and conduct performance reviewsAssist management with strategic efforts, portfolio management, and value deliveryAssist management in the recruiting process in order to build a high-functioning Data Science teamApply project/team leadership and problem-solving skills to establish and promote best practices within the teamDevelop a high-level understanding of cutting-edge data science tools and techniques

　


Expected Qualifications:



Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree or certification in analytics-related field strongly preferred5 years of experience in a quantitative analyst and/or leadership role with 3 years leading a team of quantitative analysts. Experience leading an Agile team preferredDemonstrated leadership competencies, including teambuilding, creative problem-solving, flexibility, and willingness to challenge the status quoExcellent communication, facilitation, and coaching skills in a business context and as it applies to team and project managementDemonstrated experience in influencing business decisions and driving business valueWorking experience with analytical modeling tools such as R or Python, predictive modeling, machine learning, experimental design, and AB testing strongly preferredCompletion of an analytical product critique may be required

　


 About GEICO 
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.
Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans Medical, dental, vision and life insurance Paid vacation, holidays and leave programs Tuition reimbursement Associate assistance program Flexible spending accounts Business casual dress Fitness and dining facilities (at most locations) Associate clubs and sports teams Volunteer opportunities GEICO Federal Credit Union 
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.#LI-JW1",Insurance,3.3,2020-05-02,2020-06-06,FULL_TIME
3,Data Scientist,Health IQ,TX,Dallas,109021,136518,This company is in a hiring surge in response to COVID-19,Insurance,4.1,2020-05-05,2020-06-06,FULL_TIME
4,New Grad - Big Data Engineer,Allstate,TX,Irving,71764,81129,"Where good people build rewarding careers.

Think that working in the insurance field cant be exciting, rewarding and challenging? Think again. Youll help us reinvent protection and retirement to improve customers lives. Well help you make an impact with our training and mentoring offerings. Here, youll have the opportunity to expand and apply your skills in ways you never thought possible. And youll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.
Job DescriptionJob Summary This role is responsible for providing input on tracks of work to deliver Big Data solutions enabling advanced data science and analytics. This includes working with the team on new Big Data systems for analyzing data; the coding & development of advanced analytics solutions to make/optimize business decisions and processes; integrating new tools to improve descriptive, predictive, and prescriptive analytics. This role contributes to the structured and unstructured Big Data / Data Science tools.
 Key Responsibilities

Executes basic to moderately complex functional work tracks for the team. Partners with ATSV teams on Big Data efforts.Partners closely with team members on Big Data solutions for our data science community and analytic users. Provides support to team on development of basic to moderately complex technical solutions using Big Data techniques in data & analytics processes. Develops innovative solutions to Big Data issues and challenges within the team Provides support to team on the development of basic to moderately complex prototypes and department applications that integrate big data and advanced analytics to make business decisions.Uses new areas of Big Data technologies, (ingestion, processing, and distribution) that can solve business problems.
Job Qualifications

0 - 2 Years of experience or equivalent skills & abilityBachelors or Masters preferred in a quantitative or scientific field such as computer science, computer engineering or equivalent experience.Understanding of using software development to drive data science & analytic efforts.Experience with database & ETL concepts.Experience with various data types (e.g. Relational, Unstructured, Hierarchical, and Linked Graph Data).Experience in working with statistical software such as SAS, SPSS, MatLab, R, CART, etc.Ability to code and develop prototypes in languages such as Python, Perl, Java, C, R, SQL, XSLT.Ability to communicate and present technical topics to technical audiences.

The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.

Good Work. Good Life. Good Hands®.

As a Fortune 100 company and industry leader, we provide a competitive salary but thats just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, youll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy.

Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance.

For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

It is the Companys policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employees ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race, religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment",Insurance,3.4,2020-05-01,2020-06-06,FULL_TIME
5,Senior Data Scientist,Humana,TX,Irving,66164,111524,This company is in a hiring surge in response to COVID-19,Insurance,3.5,2020-05-07,2020-06-06,FULL_TIME
6,Lead Data Scientist,USAA,TX,Plano,120057,185691,This company is in a hiring surge in response to COVID-19,Insurance,3.6,2020-04-29,2020-06-06,FULL_TIME
7,Sr. Big Data Engineer,Allstate,TX,Irving,99268,115530,"Where good people build rewarding careers.

Think that working in the insurance field cant be exciting, rewarding and challenging? Think again. Youll help us reinvent protection and retirement to improve customers lives. Well help you make an impact with our training and mentoring offerings. Here, youll have the opportunity to expand and apply your skills in ways you never thought possible. And youll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.
Job DescriptionLOCATION: Irving, TX OR Charlotte, NC OR TEMPE, AZ
Information Services Group provides technology for Allstate's information strategy, which gives a significant competitive advantage to the company. Users across Allstate have the ability to tap into massive amounts of data to understand what consumers want in order to make sound business decisions, drive product innovation and improve the customer's experience.
The Big Data Engineer - Senior Consultant II is accountable for leading a technical team of developers on the Enterprise Data Quality team to deliver innovative data quality solutions that generate business value, specifically focused on Hadoop-based, non-relational data. This role requires in-depth data experience to translate unique business requirements into technical data quality specifications that ensure data is fit-for-purpose. Engage with strategic partners to optimize the data quality function and identify strategic capabilities to keep up with data and insurance industry trends.Job DescriptionKey Responsibilities

Serve as a subject matter expert and an advocate of the data quality strategic vision and enterprise data strategyDesign and drive the implementation of end-to-end data quality solutions for multiple data ecosystems that leverage non-relational dataConsistently contribute to process improvements and help lead the team to deliver working solutions and data quality standardsParticipate and review documentation for self-service data quality practices, the process framework, and internal guidesCollaborate with various business and technical teams to gather requirements around data quality rules and propose the optimization of these rules if applicable, then design and develop these rules in Informatica Data Quality, Informatica Data Engineering Quality (DEQ), or other home-grown technologiesPerform thorough data profiling with multiple usage patterns, root cause analysis and data cleansing and develop scorecards utilizing Informatica, Excel and other data quality toolsConfigure and manage connection processDevelop ""matching"" plans, help determine best matching algorithm, configure identity matching and analyze duplicatesBuild workflows scorecards in Informatica Data Engineering Quality (DEQ) to support data remediationRun data quality jobs (address standardization and validation, email cleanups, name cleanup, parsing, etc.) utilizing DEQ and other ETL toolsServe as the primary resource to team members and data stewards for training, problem resolution, data profiling etc.Analyze and provide data metrics to target personas to provide insight into data quality and help prioritize remediation effortsIdentify and resolve issues, bugs, and impediments
Job QualificationsEducation and Experience

Bachelors Degree in Math, Statistics, Finance, Business, Economics, IT or related field, or equivalent experience5-7+ years of data and/or analytics experience

Required Skills

Experience with various data types (i.e. relational, unstructured, semi-structured, hierarchical, linked graph data, streaming, biometrics)Experience with development, management, and manipulation of large, complex datasetsExperience with database & ETL technologiesDemonstrated knowledge of data management competencies and implementationProficient at writing SQL queries and verifying the resultsFamiliar with organizational change management strategiesStrong communication skills, both written and verbalExcellent time-management and organization skillsAbility to operate in a rapidly changing, high-visibility environmentDesire to learn and ability to learn quicklyAdvanced analytical and problem-solving skillsStrong decision-making skillsAbility to draw meaningful conclusions and recommendations
Job QualificationsNice-to-Have

Experience working within agile methodologiesWorking knowledge of cloud infrastructure (AWS/Azure/Google)Intermediate technical knowledge related to various data platformsAdministration experience on Hadoop, HDFS, YARN, Spark, Sentry/Ranger, HBase and ZookeeperExperience using Informatica Data Quality, Informatica Data Engineering Quality, Informatica Analyst Experience in configuring & troubleshooting the components in the Hadoop ecosystem Spark, Solr, Scala, Kafka etc. Ability to communicate and present advanced technical topics to general audiencesAbility to code in languages such as Python, Perl, Java, C, R, SQL, XSLTUnderstanding of analytics techniques such as predictive modeling, machine learning, neural networks

Certificates, Licenses, Registrations

Preferred: Certified Data Management Professional CertificationPreferred: Informatica Data Quality or Data Engineering Quality (or other Informatica tool) CertificationPreferred: non-relational data store certification

The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.

Good Work. Good Life. Good Hands®.

As a Fortune 100 company and industry leader, we provide a competitive salary but thats just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, youll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy.

Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click here for information regarding the San Francisco Fair Chance Ordinance.

For jobs in Los Angeles, please click here for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

To view the EEO is the Law poster click here. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance Programs

To view the FMLA poster, click here. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.

It is the Companys policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employees ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment.",Insurance,3.4,2020-05-01,2020-06-06,FULL_TIME
8,Data Scientist Lead,USAA,TX,San Antonio,117947,149962,This company is in a hiring surge in response to COVID-19,Insurance,3.6,2020-04-29,2020-06-06,FULL_TIME
9,"Associate Director, Data Science (Irving, TX, Louisville, KY or Boston, MA)",Humana,TX,Irving,50249,105504,This company is in a hiring surge in response to COVID-19,Insurance,3.5,2020-04-29,2020-06-06,FULL_TIME
