,Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
0,Data Engineer,Public Broadcasting Service,VA,Arlington,89383,104525,"
Data Engineer

Team: Business Intelligence Group
Status: Full-time/Exempt/Project (Funded by a grant for up to 3-years)
The Data Strategy and Operations team is charged with ensuring that data about PBS programs and audience is collected efficiently, reported accurately and closely aligned to specific business needs. As a Data Engineer you will join a team of professionals committed to delivering the data needed to empower a culture of decision-making that informs PBSs priorities and advances its mission to educate, inspire and entertain.
This role will serve as the primary technical resource for the Business Intelligence group. They will be in charge of defining, building and maintaining key data pipelines that feed into a variety of data products used by clients from across the company and the nation. The Data Engineer will be in charge of working with different internal groups, vendors and partners to identifying and obtain access to data sources. They will use that access to build automated processes (i.e. pipelines) that ingest and transform raw data into datasets that can be used to build visualizations, dashboards and analysis tools. Once these pipelines are built the developer will monitor them for data integrity and make incremental improvements to improve efficiency and performance and to reduce cost. This is a new position so we are looking for somebody who will be comfortable building a program from scratch with a keen focus on process, documentation and operational efficiency.

Essential duties will include, but not limited to:

Work with team members and key stakeholders to define deliverables, make estimates of effort, identify potential issues and propose timing for projects.
Design and create functional/technical specifications for efficient data models
Design and build custom extract, transform, load (ETL) data pipelines from multiple large data sources that result in concise data sets for business intelligence source tables.
Build custom connections from key API data sources.
Crafting and executing queries for data from databases and data warehouses upon request. When necessary scheduling/automating those jobs for the future.
Take an ownership role over the collection of accurate and clean data. Identify and manage data quality or integrity issues within the pipelines.
Modify existing solutions as necessary and continually evaluating their effectiveness and efficiency. Maintaining an enterprise business intelligence library and support the archiving of unused solutions.
Analyze BI infrastructure and technical issues to identify and implement new technologies that align with BI roadmap and make the system more flexible and scalable.
Support the process of data discovery by exploring and cultivating impactful data sets
Serve as liaison between the Business Intelligence and internal technical teams (IT, Digital Products, Technology and Operations) to ensure that enterprise product roadmaps include and deliver features and data needed for the BI roadmap
Assist with training and knowledge transfer of Data Engineer best practices to other staff members.

Requirements for success:


Bachelors degree in computer science, business intelligence or information systems technology preferred. An equivalent combination of education and work experience may be considered.
Technical training on at least one Business Intelligence tool; Domo experience ideal.
2+ years of experience building ETL workflows or data pipelines using Business Intelligence tools.
A deep understanding of APIs and how to obtain data from them.
Expert knowledge of how to build custom data-connectors for Business Intelligence tools; especially Domo.
Demonstrated knowledge of how to design and build automated Export, Transform, Load (ETL) processes or data pipelines.
Advanced knowledge of data structures, data modeling and data management.
Extensive experience with cloud data warehouses or relational/non-relational databases.
Ability to build and optimize advanced SQL queries.
Strong understanding of data privacy and data security best practices.
A familiarity with Google Cloud Platform and BigQuery
Experience with scripting languages such as R, Python or Javascript and any history with learning new languages is highly desirable.
A familiarity with digital analytics data sets such as Google Analytics
A deep desire to learn emerging skills and/or programming languages that improve Business Intelligence through automation.
Ability to effectively prioritize work, staying focused on primary objectives and always seeking to leverage existing work.
Highly organized and detail-oriented obsessive about efficiency and documentation

PBS is an Equal Opportunity Employer of Minorities, Women, Protected Veterans, and Individuals with Disabilities
",Media,3.8,2020-04-28,2020-06-06,FULL_TIME
1,Senior Data Scientist,"Discovery Communications, Inc.",MD,Silver Spring,123596,201900,"Position Summary

Our Team

The Global Data & Advanced Analytics (GDA) team enables Discovery to turn data into action. Using big data platforms, data warehousing and business intelligence technology, audience data, advanced analytics, data science, visualization, and self-service analytics, this team supports global company efforts to increase revenue, drive audiences, and enhance consumer engagement. Join a team that supports high impact business partners by leveraging data to drive innovation.

The Role As part of a growing team that is innovating the way Discovery does business around the world, the Senior Data Scientist/Statistician will be responsible for executing high impact data science projects to support our Ad Sales, Finance, Research, and Media business partners. These efforts will include optimization of revenue, viewership, engagement, retention, content value, and customer value for multiple media platforms. Specifically, you'll be responsible for developing and operationalizing mathematical/statistical analyses, hypothesis tests, and algorithms/models. You'll also be responsible for refining and executing operationalized algorithms and models.

You'll need to be an innovative forward-thinker who will help lead end-to-end execution of data science projects and contribute directly to existing and emerging business strategies and goals. Communication and ability to work in a collaborative team environment are essential.

You'll work with the Data Science Sr. Manager, data & analytics team, data engineering team, and business stakeholders to develop, refine, and scale data products. Therefore, this role requires strong technical and communication skills, creativity and attention to detail, and experience executing end-to-end data science projects-from use case definition to final product delivery.

Responsibilities

Apply data mining techniques to cleanse and explore large, complex data sets in preparation for further analysis2. Apply appropriate data reduction, feature selection, and feature engineering techniques3. Develop and implement hypothesis tests4. Develop, validate, and operationalize appropriate mathematical and statistical algorithms and models5. Review, make enhancements to, and execute operationalized algorithms and models6. Develop data products to communicate insights to internal stakeholders7. Communicate insights from analyses to internal stakeholders in clear business terms8. Assist in making data science techniques approachable and understandable to non-data scientists9. Collaborate with data & technology teams to create repeatable processes and scalable data products10. Identify appropriate data science solutions as new data-centric business problems arise 11. Stay current with new data science methods, technologies, and industry trends12. Support Data Science Sr. Manager in developing and implementing data science processes and best practices

Requirements

Master's or PhD degree in a quantitative field (statistics, physics, computer science, etc.) * Minimum of 3-5 years proven business experience and technical expertise in data science * Experience cleansing and preparing large, complex datasets for analysis* Expertise applying statistics or machine learning in a professional or other intensive problem-solving environment with large, complex datasets* Experience with hypothesis testing, regression & classification, time series analysis, & optimization* Expertise in statistical programming languages such as R or the Python scientific stack (NumPy, SciPy, scikit-learn, etc.)* Experience with Amazon Web Services (RedShift, S3, EC2, EMR, etc.) and Apache Spark preferred* Experience with SQL and NoSQL databases* Familiarity with data visualization tools, like Tableau* Strong analytical, critical thinking, and problem solving skills* Excellent communication skills-ability to present complex information in a concise and compelling manner* Ability and eagerness to learn and teach others* Prior media or direct-to-consumer industry experience preferred
Must have the legal right to work in the United States


silver spring, maryland, md",Media,3.4,2020-05-07,2020-06-06,FULL_TIME
2,Senior Data Scientist - Entertainment and Media Industry Opportunity,Discovery Communications,MD,Silver Spring,123596,201900,"Position SummaryOur Team

The Global Data & Advanced Analytics (GDA) team enables Discovery to turn data into action. Using big data platforms, data warehousing and business intelligence technology, audience data, advanced analytics, data science, visualization, and self-service analytics, this team supports global company efforts to increase revenue, drive audiences, and enhance consumer engagement. Join a team that supports high impact business partners by leveraging data to drive innovation.

The Role

As part of a growing team that is innovating the way Discovery does business around the world, the Senior Data Scientist/Statistician will be responsible for executing high impact data science projects to support our Ad Sales, Finance, Research, and Media business partners. These efforts will include optimization of revenue, viewership, engagement, retention, content value, and customer value for multiple media platforms. Specifically, youll be responsible for developing and operationalizing mathematical/statistical analyses, hypothesis tests, and algorithms/models. Youll also be responsible for refining and executing operationalized algorithms and models.

Youll need to be an innovative forward-thinker who will help lead end-to-end execution of data science projects and contribute directly to existing and emerging business strategies and goals. Communication and ability to work in a collaborative team environment are essential.

Youll work with the Data Science Sr. Manager, data & analytics team, data engineering team, and business stakeholders to develop, refine, and scale data products. Therefore, this role requires strong technical and communication skills, creativity and attention to detail, and experience executing end-to-end data science projectsfrom use case definition to final product delivery.

Responsibilities

Apply data mining techniques to cleanse and explore large, complex data sets in preparation for further analysis
Apply appropriate data reduction, feature selection, and feature engineering techniques
Develop and implement hypothesis tests
Develop, validate, and operationalize appropriate mathematical and statistical algorithms and models
Review, make enhancements to, and execute operationalized algorithms and models
Develop data products to communicate insights to internal stakeholders
Communicate insights from analyses to internal stakeholders in clear business terms
Assist in making data science techniques approachable and understandable to non-data scientists
Collaborate with data & technology teams to create repeatable processes and scalable data products
Identify appropriate data science solutions as new data-centric business problems arise
Stay current with new data science methods, technologies, and industry trends
Support Data Science Sr. Manager in developing and implementing data science processes and best practices

Requirements

Masters or PhD degree in a quantitative field (statistics, physics, computer science, etc.)

Minimum of 3-5 years proven business experience and technical expertise in data science

Experience cleansing and preparing large, complex datasets for analysis

Expertise applying statistics or machine learning in a professional or other intensive problem-solving environment with large, complex datasets

Experience with hypothesis testing, regression & classification, time series analysis, & optimization

Expertise in statistical programming languages such as R or the Python scientific stack (NumPy, SciPy, scikit-learn, etc.)

Experience with Amazon Web Services (RedShift, S3, EC2, EMR, etc.) and Apache Spark preferred

Experience with SQL and NoSQL databases

Familiarity with data visualization tools, like Tableau

Strong analytical, critical thinking, and problem solving skills

Excellent communication skillsability to present complex information in a concise and compelling manner

Ability and eagerness to learn and teach others

Prior media or direct-to-consumer industry experience preferred

Must have the legal right to work in the United States",Media,3.4,2020-05-06,2020-06-06,FULL_TIME
3,Data Engineer,"ZeniMax Media, Inc.",MD,Rockville,62986,81374,"Global video game publisher/developer headquartered in Rockville, MD, seeks a Data Engineer. This position works within the Enterprise Bl Team and is responsible for the development of the Data Platform for Enterprise wide reporting. The Data Engineer will be supporting a broad range of data pipelining needs from all facets of the business, including e-commerce, financial, and game event data. The incumbent will have relevant experience manipulating, organizing, storing, and processing data with a major programming language. The Big Data Engineer will facilitate the creation of data pipeline processes to move data from enterprise data sources such as relational databases and log files for data analysts and data scientists.Work within the Enterprise Bl team, supporting the creation of data pipeline processes for ingesting data at large scalesWork directly with Data Architects, Analysts, and Data ScientistsDirectly work with Data Engineers and Data Modelers to understand the source and target structuresCoordinate with the analysts and report developers to ensure data can be easily digested by Business Intelligence toolsBe able to straddle differing subject areas such as in game vs business data sources2+ Years of Experience with a major programming language (Scala, C++, Java, etc.)A clear understanding of both row and columnar storage databasesStrong SQL skills - able to query data sources and generate results from complex structuresExperience with relational databasesComfortable working with structured, semi-structured, and unstructured source dataStrong communicator - comfortable interfacing directly with differing customers across the organization in addition to the Bl teamBS degree in Computer Science, Computer Systems Engineering, or equivalentApache Spark experience a major plus (Spark RODs, Spark DataFrames, Spark SQL)Streaming Data Technologies (Pub/Sub, Kafka, Kinesis, etc)Experience with the Spark / Hadoop Eco-System (Hive, Parquet)Understanding of Amazon Web Services, Google Cloud Compute, or Microsoft AzureExperience with nonrelational databases or NoSQL Databases encouragedExperience working with very large datasets highly encouragedWorking experience with an agile development frameworkA personal interest in video gaming is a plus CCPA Applicant Privacy Notice",Media,3.4,2020-05-02,2020-06-06,FULL_TIME
4,Data Platform Engineering Manager,Gannett,VA,McLean,59246,102681,"Friday, April 17, 2020

Gannett Co., Inc. (NYSE: GCI) is an innovative, digitally focused media and marketing solutions company committed to strengthening communities across our network. With an unmatched reach at the national and local level, Gannett touches the lives of nearly 140 million people monthly with our Pulitzer-Prize winning content, consumer experiences and benefits, and advertiser products and services. Gannett brands include the USA TODAY and more than 260 daily local newspaper brands, digital marketing services companies ReachLocal, WordStream, and ThriveHive and U.K. media company Newsquest. There's never been a better time to join our talented team. Visit Gannett.com/Careers to learn more about our opportunities, and visit Gannett Privacy Policy to understand our privacy policy.

Data Platform Engineering Manager

Position SummaryGannett is seeking a Manager for our Data Platform team, focused on operating our cloud-based Big Data platform, as well as building new data initiatives for the USA TODAY NETWORK. As part of the Subscription and Data Products group, the team sits centrally within the organization and implements big data and cloud based data warehouse solutions to support our marketing and advertising operations and generating user profile data to be used by our more than 400 reader-facing products.

ResponsibilitiesAs the Manager of the Data Platform team, you will have responsibility for the daily operations and management of the platform and the team. You will work directly with the department director, as well as fellow development managers and key stakeholders in Product, Strategy, Marketing and Revenue. Specific responsibilities will include:



 Provide daily management of the team of 10 Hadoop engineers and ETL developers

 Working with the department Director, set strategy and roadmap for the continued evolution of Gannett’s data platform

 Closely collaborate with other department managers in overlapping areas

 Act as point of contact for external teams

 With the aid of the department Project Manager, run agile sprints delivering incremental value, while continuing to ensure operational excellence

 Based on your experience as a Data Engineer, manager of a Data Warehouse team or similar experience, deliver personal leadership within the team and across the organization in the respective field

 Mentor, retain, and help recruit team members as needed



Our ExpectationsThe Manager should be able to draw upon their past experience to provide effective operational leadership of our team. As such we are looking for:



 Proven track record of management, or positions leading up to management as the next natural career step

 Extensive, proven knowledge of Data Warehousing technologies, or Big Data (Hadoop and related technologies), either as a Data Warehouse or Big Data manager, or as a Big Data engineer or as a Data Scientist

 Experience with and appreciation for cloud hosting and Dev Ops in a Linux environment

 Solid general architectural skills, with proven experience in delivering complex data systems

 Proven knowledge in all stages of the software development life cycle, including the need for architecture, code reviews, unit and integration testing, CI and CD.

 Excellent written and verbal communication skills with the ability and desire to effectively communicate with all stakeholders including senior leadership.

 8+ years of experience

 Bachelor or Masters degree, preferably in Computer Science



Additional ConsiderationsWe'd be delighted if you also had experience with the following:



 JIRA and Confluence

 Google Cloud Platform

 Streaming data processing

 Data Governance

 Working with and developing solutions for media-related websites or publishers

#Product

#LI-MH1

Gannett Co., Inc. is a proud equal opportunity employer. We are a drug free, EEO employer committed to a diverse workforce. We will consider all qualified candidates regardless of race, color, national origin, sex, age, marital status, personal appearance, sexual orientation, gender identity, family responsibilities, disability, education, political affiliation, or veteran status.
Other details


 Job Family

 Audience Platform

 Job Function

 Technology

 Pay Type

 Salary

 Job Start Date

 Monday, September 16, 2019



",Media,3.0,2020-04-25,2020-06-06,FULL_TIME
5,Data Engineer,SciPlay,TX,Austin,68264,85692,"






Austin, Texas 




Apply


Social:Scientific Games, Social is a global leader focused in providing an ever-expanding portfolio of robust iGaming and Social Casino solutions to the global gaming industry. To put it simply - we make Mobile and Facebook games that are fun to play, fun to make, and we're growing like crazy! Scientific Games global reach is made possible by the expertise of our rock star teams and game makers. Want to be part of a fast-paced company that lands in the Top 1% of Social Casino games? See more details below!Scientific Games:Scientific Games (SG) is a global leader focused on delivering an ever-expanding portfolio of lottery and gaming products and services to the world's government-regulated and government-sponsored entities. Scientific Games' global reach is made possible through the expertise, skill and dedicated efforts of its 8,000+ employees who serve lottery and gaming customers in more than 100+ countries on 6 continents.Position SummaryEssential Job Functions:

• Responsible for the availability of all Redshift game data

• Resolves data ingestion issues and is proactive in recommending long-term solutions to prevent future issues

• Works with individual team members and their managers to optimize queries and table schemas to meet demands

• Run SQL explains on queries for query optimization

• Responsible for maintaining documentation on new data sources, intermediate structures, and how best to access data

Education:

• Bachelor’s degree or higher in Computer Science, MIS, or equivalent experience

Required Experience:

• Minimum 2-5 years of experience with Big Data analytics and querying Big Data

• Minimum 1 year of experience with Amazon AWS or similar cloud-based data storage solution

Preferred Experience:

• Experience with Amazon AWS

• Advanced SQL skills, preferably PostgreSQL or HiveQL

• Expert on use and management of Redshift or PostgreSQL tables, schemas, and functions

• Experience with developing, scheduling, and maintaining ETL processes, especially in an AWS environment

• Clear and effective communication of complex ideas and analysis

• Ability to work with little direction, self-directed

• Active learner, motivated to learn without guidance

• Solutions oriented attitude of customer service

• Critical thinking and creative problem solvingQualificationsWe are SciPlay! We make games!

The roots of our company are simple and strong: our founders fell head over heels for casino games and had a vision to create the most entertaining free-to-play casino games for gamers around the world. We’ve grown into a company that makes games we are truly proud of and that are enjoyed by millions of players every day. Our history is extensive, but we’re just getting started. In 1998, we got our start as Phantom EFX and in 2019, we reintroduced ourselves as SciPlay and went public on the Nasdaq.

At SciPlay, we are programmed to think untraditionally. From our yearly development conferences, shindigs, and new game launches, we believe in doing what you love and doing it well. We take great pride in our ability to create authentic experiences for players and we are excited to continue investing in our workforce, technology, and our data-driven approach, all with the mission of delighting our players long into the future. We believe that if we continue to stay passionate, set ambitious goals, live our values and play together, we will become the #1 social casino and casual gaming company in the world.

A few of our highlighted perks and benefits:

Competitive salaries and annual bonuses alongside matching 401k, employee stock options, and other competitive benefits.Strong commitment to work life balanceFully stocked kitchenFully stocked gameroom featuring current generation consoles and titles, shuffle board tables, foosball tables, and arcade cabinets (including our prized 5v5 cabinet ultra-rare copy of Killer Queen!)Brand new, shiny, and aesthetically pleasing 10,000 sq ft office located in the Arboretum area in Austin

SciPlay Corporation and its affiliates (collectively, SciPlay) are committed to creating a workforce of credibility and dependability. As a prerequisite to employment with SciPlay (to the extent permitted by law), you shall be asked to consent to SciPlay conducting a due diligence/background investigation on you. This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above. SciPlay is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here EEOC Poster.

Scientific Games Corporation and its affiliates (collectively, “SG”) are engaged in highly regulated gaming and lottery businesses. As a result, certain SG employees may, among other things, be required to obtain a gaming or other license(s), undergo background investigations or security checks, or meet certain standards dictated by law, regulation or contracts. In order to ensure SG complies with its regulatory and contractual commitments, as a condition to hiring and continuing to employ its employees, SG requires all of its employees to meet those requirements that are necessary to fulfill their individual roles. As a prerequisite to employment with SG (to the extent permitted by law), you shall be asked to consent to SG conducting a due diligence/background investigation on you.

This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above.

SG is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here EEOC Poster.



Apply
",Media,4.0,2020-05-01,2020-06-06,FULL_TIME
6,"Predictive Data Analyst, Fundraising",Publishing Concepts,TX,Dallas,33844,63544,"The Predictive Data Analyst assists in managing our clients data for increasing memberships and donations as part of other projects. It involves working with our technology team in preparing data before a project starts, consulting with the client and account management team to ensure all client data is ready to begin a project. The Data Analyst uses Access to analyze and prepare the client's data.

Essential Skills

Meet monthly goals and deadlinesInteract with clients using excellent written and verbal communication skillsIntermediate to advanced proficiency in Microsoft AccessProficient in the use of MS Office, specifically Access and SQLUtilize internal tools and methods of communication (Fogbugz)Partner with other departments, assisting technology, account management, sales and client services to meet client requirements and contractual obligations and research and resolve client inquiriesIdentify and implement process improvements to maximize efficiencies.Manages the quality, integrity and validity of the asset data.Maintains and reconciles manageable file system of participant records that is easily accessible.

Minimum Requirements

MUST have 2+ years of business analysis experience MUST have experience using Access and Excel MUST have a 4-year degree from an accredited college or university Data Migration Experience is preferred SQL experience is preferred Working knowledge of LEAN principle is preferred

Skills And Abilities

Gets things done by practicing excellent prioritization and making good decisions on where to focus attention. Ability to prioritize tasks, work effectively under time constraints, meet short deadlines. Writes clear, precise, well-organized documents Should be able to build relationships with internal and external customers. Copes effectively with complexity and change. Handles ambiguity and uncertainty well. Consistent logic, rationality & objectivity in decision-making. Ability to effectively plan, organize and control the work process. Ability to coordinate multiple priorities and produce accurate work despite frequent interruptions.

Voted #1 Best Places to work in Arkansas and #2 Virginia

Voted Best Companies to work in Texas

About Publishing Concepts, LP (PCI): We are a Dallas-based company that partners with colleges, universities, fraternities, sororities, public and private high schools, associations and service organizations of all sorts to engage their alumni and members. We collect data and stories, publish alumni and membership directories, produce oral history projects, implement fundraising programs, and share alumni and member stories across their respective communities. Today PCI produces alumni directories for schools such as Harvard, Spelman, Texas A&M, and Georgetown. We also provide services to organizations such as Peace Corps, Shriners International, and Vietnam Veterans of America.

Our Benefits:

Medical, dental, vision, tuition reimbursement, life insurance, PTO, Wellness and 401k Teladoc support on Day 1!Vacation, sick, personal, holiday pay time off and sabbaticalsPaid training with the opportunity to earn commission

Our notthebigcompany Values:

Pursue EXCELLENCE (Purposefully!)Unlock HUMAN POTENTIALAct with INTEGRITYInnovate a CULTURE of Relationship and FunLead with a SERVANTS HEART

Learn more about PCI: http://notthebigcompany.com/

PCI is firmly committed to the principle of equal employment opportunity. PCI offers employment opportunities without regard to race, color, sex, age, religion, national origin, disability, U.S. military and or other prohibited bases of discrimination, both state and local. All aspects of the employment relationship (including recruiting, hiring, training, working conditions, compensation, promotion, discipline, and termination) are subject to this policy. Candidates must pass pre-employment background check and drug screens.

***We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas***

Powered by JazzHR",Media,3.1,2020-05-05,2020-06-06,FULL_TIME
7,Data Scientist 3,Zynga,TX,Austin,132313,154929,This company is in a hiring surge in response to COVID-19,Media,4.0,2020-05-06,2020-06-06,FULL_TIME
8,Data Scientist,iHeartMedia,TX,San Antonio,58855,104723,"
*Current employees and contingent workers click** **here** at https://wd5.myworkday.com/iheartmedia/d/task/3005$4482.htmld **to apply and search by the Job Posting Title.**


iHeartMedia



*Job Summary:**


iHeartMedia is the number one audio company in the United States, reaching nine out of 10 Americans every month - and with its quarter of a billion monthly listeners, has a greater reach than any other media company in the U.S. The company's leadership position in audio extends across multiple platforms including 850 live broadcast stations; streaming music, radio and on demand via its iHeartRadio digital service available across more than 250 platforms and 2,000 devices including smart speakers, digital auto dashes, tablets, wearables, smartphones, virtual assistants, TVs and gaming consoles; through its influencers; social; branded iconic live music events; and podcasts as the #1 commercial podcast publisher globally. iHeartMedia also leads the audio industry in analytics and attribution technology for its marketing partners, using data from its massive consumer base.

The Data Scientist will provide research, modeling, analysis, and guidance using Advanced Analytics and Data Science techniques to develop and support data and model-driven decision making through leading-edge business solutions. The Data Scientist will engage directly with business and technology partners to research, identify, and seek out information, facts, and data, and will conduct and promote scientific, inquisitive, and innovative approaches to business decision problems and technical solutions.

Responsibilities:

+ Demonstrate passion about using data assets and mathematical modeling to optimize systems, processes, and products across iHeartMedia

+ Use emerging tools and technology to develop advanced analytics models and automation in content programming, ad sales and operations, consumer insights, music research, audience attribution, demand and revenue forecasting, and other areas of the company

+ Assist or lead the formulation, calibration, validation, and implementation of predictive analytics, statistical, and machine learning models

+ Employ a pragmatic approach to evaluate new algorithms and technologies for positive impact within iHeartMedia

+ Communicate complex solutions and ideas to a variety of stakeholders (other team members, IT leadership, and business leaders) in easily understandable language

+ Work on a number of projects as a member of the project team and/or as an individual contributor

+ Write code that meets standards and delivers desired functionality using agreed upon technology

+ Participate in system and user acceptance testing

+ Participate in project planning sessions to gather user requirements

+ Assist in the preparation of time estimates for project schedules

+ Troubleshoot production problems within area of expertise

+ Utilize and stay current in programming languages and software technology

Qualifications:

+ Master's Degree in Statistics, Applied Mathematics, Operations Research or a related analytical field - Ph.D. desired

+ 2+ years of commercial experience in a data science, machine learning, or predictive analytics role, formulating and implementing predictive analytics models

+ A demonstrable scientific foundation and understanding of concepts of predictive analytics and data science such as theoretical statistics, estimation theory, simulation, consumer choice modeling, machine learning, etc.

+ Solid programming skills in a general-purpose language and expertise in Python or R

+ Exceptional analytical, decision-making, and problem-solving skills as well as solid communication and presentation skills with technical and non-technical audiences

+ Experience and understanding of software development practice concepts and technology obtained through formal training and/or work experience



*Location**


San Antonio, TX: 20880 Stone Oak Parkway, 78258

Position Type

Regular

The Company is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity or expression, religion, disability, ethnicity, national origin, marital status, protected veteran status, genetic information, or any other legally protected classification or status.

Our organization participates in E-Verify. Click here at http://iheartmediacareers.com/Pages/EEO.aspx to learn about E-Verify.

Current employees and contingent workers click here at https://wd5.myworkday.com/iheartmedia/d/task/3005$1999.htmld to apply and search by the Job Posting Title.

iHeartMedia is the number one audio company in the United States, reaching nine out of 10 Americans every month - we specialize in radio, digital, social, podcasts, influencers, data, and events across the nation and provide premier opportunities for advertisers.

Visit iHeartMedia.com at https://iheartmedia.com/ to learn more about us.",Media,3.2,2020-05-07,2020-06-06,FULL_TIME
9,"Data Analyst, Marketing Analytics",Zynga,TX,Austin,53805,110087,This company is in a hiring surge in response to COVID-19,Media,4.0,2020-05-06,2020-06-06,FULL_TIME
